"","Lineage1","Lineage2","Lineage3","Lineage4","Lineage5","Lineage6","Lineage7","Lineage8","Lineage9","Lineage10","Lineage11","Lineage12","Fam","Taxogroup","Taxo1","Last","SizeMin","SizeMax","Cover","Shape","Spicule","Symmetry","Polarity","Colony","Motility","Chloroplast","Plast_Origin","Ingestion","Behaviour","Mutualistic_Host","Symbiontic","Symbiont_Location","Host_Specialisation","Symbiont_Specialisation","Prey_Specialisation","Mucilage","Chemical_Signal","Nutrient_Afinity","Oxygen_Tolerance","Salinity","Temperature","Depth","Toxygenity","Benthic_Phase","Longevity","Cyst_Spore","Ploidy","Genome_Size"
"2","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined_Eukaryota","Undetermined_Eukaryota","Undetermined_Eukaryota","Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Eukaryota","Amoebozoa","Amoebozoa_U1","PRS2_lineage","PRS2_lineage_X1","PRS2_lineage_X1_sp.",NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","PRSlineage",NA,NA,"Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"4","Eukaryota","Amoebozoa","Conosa","Variosea","V06_Protosteliids","Protostelium_1","Protostelium_1_mycophagum",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Protostelium","20","100","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Saprotrophic","Passive_Ambush_Feeder","No","No",NA,NA,NA,"deadmatter__bacteria__yeasts__and_fungal_spores",NA,NA,NA,NA,"Soil",NA,NA,NA,NA,NA,"1",NA,NA
"5","Eukaryota","Amoebozoa","Conosa","Variosea","V08_Flamellids","Flamella_1","Flamella_1_sp.",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Flamella","17","80","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","Other_Mutualist","No",NA,"Bacteria",NA,"0",NA,NA,NA,NA,"Aquatic",NA,NA,NA,NA,NA,"1",NA,NA
"6","Eukaryota","Amoebozoa","Conosa","Variosea","V08_Flamellids","Flamella_2",NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Flamella","17","80","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","Other_Mutualist","No",NA,"Bacteria",NA,"0",NA,NA,NA,NA,"Aquatic",NA,NA,NA,NA,NA,"1",NA,NA
"7","Eukaryota","Amoebozoa","Conosa","Variosea","V09_Schizoplasmodiids","Ceratiomyxella","Ceratiomyxella_tahitiensis",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Ceratiomyxella","70","185","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Swimmer","0","None","Phagotrophic","Cruise_feeder","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"Aquatic",NA,NA,NA,NA,NA,"1",NA,NA
"8","Eukaryota","Amoebozoa","Conosa","Variosea","V09_Schizoplasmodiids","Nematostelium","Nematostelium_ovatum",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Nematostelium","11","192","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"Aquatic",NA,NA,NA,NA,NA,"1",NA,NA
"9","Eukaryota","Amoebozoa","Conosa","Variosea","V09_Schizoplasmodiids","Schizoplasmodium","Schizoplasmodium_cavostelioides",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Schizoplasmodium","13.5","50","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Saprotrophic","Passive_Ambush_Feeder","No","No",NA,NA,NA,NA,NA,NA,NA,NA,"Soil",NA,NA,NA,NA,NA,"1",NA,NA
"10","Eukaryota","Amoebozoa","Conosa","Variosea","V18_RT5iin","V18_RT5iin_X2","V18_RT5iin_X2_sp.",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","V",NA,NA,NA,"Amoeboid","0","Asymetrical","Heteropolar","None",NA,"0","None","Phagotrophic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Eukaryota","Amoebozoa","Conosa","Variosea","V22_Amb6341","V22_Amb6341_X1","V22_Amb6341_X1_sp.",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","V",NA,NA,NA,"Amoeboid","0","Asymetrical","Heteropolar","None",NA,"0","None","Phagotrophic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Eukaryota","Amoebozoa","Lobosa","Centramoebida","Acanthamoebidae","castellanii_lineage","Acanthamoeba_X","Acanthamoeba_X_sp.",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Acanthamoeba","25","40","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,"Bacteria__algae",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"13","Eukaryota","Amoebozoa","Lobosa","Discosea","Longamoebia","Dermamoebida","Dermamoebidae","Dermamoebidae_X2","Dermamoebidae_X2_sp.",NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Dermamoebidae","3","100","Organic","Elongated","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"bacteria__algae_and_fungi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"14","Eukaryota","Amoebozoa","Lobosa","Lobosa_U1","IAFDv98_lineage","IAFDv98_lineage_X1","IAFDv98_lineage_X1_sp.",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","IAFDv","6","60","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"15","Eukaryota","Amoebozoa","Lobosa","Lobosa_U2","Lobosa_U2_X1","Lobosa_U2_X1_sp.",NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Lobosa","6","60","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"16","Eukaryota","Amoebozoa","Lobosa","Pellitida","Pellitidae","Pellita","Pellita_catalonica",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Pellita","10","33","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"17","Eukaryota","Amoebozoa","Lobosa","Squamamoeba_lineage","Pessonella","Pessonella_sp.",NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Pessonella","5","10","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"18","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Echinamoebida","Echinamoebidae","Echinamoeba","Echinamoeba_thermarum",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Echinamoeba","15","35","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,"33_37",NA,NA,NA,NA,"1",NA,NA
"19","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Echinamoebida","Vermamoebidae","Vermamoeba","Vermamoeba_vermiformis",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Vermamoeba","15","30","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"20","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida",NA,NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Leptomyxida","5","40","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"21","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Flabellulidae",NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Flabellulidae","5","40","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"22","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Flabellulidae","Flabellula","Flabellula_citata",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Flabellula","15","47","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"23","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Flabellulidae","Flabellulidae_X1","Flabellulidae_X1_sp.",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Flabellulidae","3","75","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"24","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Flabellulidae","Paraflabellula",NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Paraflabellula","8","45","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"25","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Flabellulidae","Paraflabellula","Paraflabellula_hoguae",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Paraflabellula","8","45","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"26","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Flabellulidae","Paraflabellula","Paraflabellula_sp.",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Paraflabellula","8","45","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"27","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Leptomyxida","Rhizamoebidae","Rhizamoeba_1","Rhizamoeba_1_saxonica",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Rhizamoeba","30","600","Naked","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"28","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Nolandida","Nolandellidae","Nolandella","Nolandella_abertawensis",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Nolandella","8.5","19","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"29","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Nolandida","Nolandellidae","Nolandella","Nolandella_sp.",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Nolandella","8.5","19","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"30","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Nolandida","Nolandellidae","Nolandellidae_X1","Nolandellidae_X1_sp.",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Nolandellidae","8.5","19","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"31","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Nolandida","Nolandellidae","Nolandellidae_X2","Nolandellidae_X2_sp.",NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Nolandellidae","8.5","19","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Floater","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,"Marine",NA,NA,NA,NA,NA,"1",NA,NA
"32","Eukaryota","Amoebozoa","Lobosa","Tubulinea","Tubulinida","Hartmannellidae",NA,NA,NA,NA,NA,NA,"Amoebozoa","Amoebozoa","Amoebozoa","Hartmannellidae","7.5","19","Organic","Amoeboid","0","Asymetrical","Heteropolar","None","Gliding","0","None","Phagotrophic","Active_Ambush_Feeder","No","No",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
