"","minority.macroeuk.asvs","minority.macroeuk.rel.ab"
"AA1A",0,0
"AA1B",0,0
"AA1C",0,0
"AA1DeepA",4,0.000488609958956763
"AA1DeepB",8,0.000597047828123708
"AA1DeepC",7,0.000631993092582537
"AA1MF09AA",6,0.00154044008536017
"AA1MF09AB",6,0.00152246726695376
"AA1MF09AC",12,0.00237814162774385
"AA1MF13AA",6,0.00178930506799359
"AA1MF13AB",14,0.0042935517213962
"AA1MF13AC",13,0.00362584535158478
"AA1PCRx1A",0,0
"AA1PCRx1B",0,0
"AA1PCRx1C",0,0
"AA2A",0,0
"AA2B",0,0
"AA2C",0,0
"AA2MF09AA",13,0.00418250628645935
"AA2MF09AB",13,0.00333997146127672
"AA2MF09AC",12,0.00305299539170507
"AA2MF13AA",15,0.0023055304149002
"AA2MF13AB",14,0.00268865577796361
"AA2MF13AC",15,0.00285091238636471
"AA3A",0,0
"AA3B",0,0
"AA3C",0,0
"AA3MF09AA",12,0.00378722966720362
"AA3MF09AB",14,0.00360053262316911
"AA3MF09AC",12,0.00466137146458336
"AA3MF13AA",15,0.00301300484999356
"AA3MF13AB",13,0.00298688432477192
"AA3MF13AC",15,0.0026234678517669
"AA4A",0,0
"AA4B",0,0
"AA4C",0,0
"AA4MF09AA",11,0.00470236612702366
"AA4MF09AB",14,0.0047805953693495
"AA4MF09AC",15,0.00448177753691912
"AA4MF13AA",19,0.00443666435276009
"AA4MF13AB",16,0.00373695704925989
"AA4MF13AC",18,0.00354186296944407
"AA5A",0,0
"AA5B",0,0
"AA5C",0,0
"DCSamplingBlank",3,0.00475106404038404
"ExtrBlankPCA",0,0
"ExtrBlankPCB",0,0
"ExtrBlankPCC",1,0.000628618693134822
"ExtrBlankPWA",0,0
"ExtrBlankPWB",0,0
"ExtrBlankPWC",0,0
"MF09APC",22,0.0152141049078892
"MF09APCRx1A",22,0.0130222423701797
"MF09APCRx1B",10,0.00468785969905615
"MF09APCRx1C",17,0.011041970991822
"MF09APW",12,0.00446392914510876
"MF10APC",18,0.00880864156686297
"MF10APW",16,0.00748404976169811
"MF11APC",19,0.00927200052421204
"MF11APW",16,0.00394113179877969
"MF13APC",39,0.0192554557124519
"MF13APCRx1A",40,0.0160716766932384
"MF13APCRx1B",34,0.0196018510433947
"MF13APCRx1C",16,0.0178320915297565
"MF13APW",35,0.0171842699678344
"MF14APC",32,0.018698323248187
"MF14APW",39,0.0269581448775935
"MF14BPC",37,0.0174618945944232
"MF14BPW",29,0.0172989767789562
"MOCK005PCA",0,0
"MOCK005PCB",0,0
"MOCK005PCC",0,0
"MOCK005PWA",0,0
"MOCK005PWB",0,0
"MOCK005PWC",0,0
