"","rm.allmacro.asvs","rm.majoritymacro.asvs","total.rm.macroeuk.asv","rm.allmacro.rel.ab","rm.majoritymacro.rel.ab","total.rm.macroeuk.rel.ab"
"AA1A",2,0,2,0.000553409811494783,0,0.000553409811494783
"AA1B",2,0,2,0.000433766771493636,0,0.000433766771493636
"AA1C",1,0,1,0.000412426157522532,0,0.000412426157522532
"AA1DeepA",8,1,9,0.00180242784859606,0.00028230797628613,0.00208473582488219
"AA1DeepB",9,1,10,0.001423729436295,0.000156150970432354,0.00157988040672735
"AA1DeepC",7,1,8,0.00173575567681119,0.000284841957220299,0.00202059763403149
"AA1MF09AA",10,0,10,0.0321937845362427,0,0.0321937845362427
"AA1MF09AB",5,0,5,0.0316238200878681,0,0.0316238200878681
"AA1MF09AC",8,1,9,0.0297695426782323,0.000239525056031754,0.0300090677342641
"AA1MF13AA",5,2,7,0.0333321972666235,0.000391943014893835,0.0337241402815173
"AA1MF13AB",16,1,17,0.076148070741376,0.000772384965753814,0.0769204557071298
"AA1MF13AC",13,4,17,0.0750631467448871,0.000814796708221299,0.0758779434531084
"AA1PCRx1A",0,0,0,0,0,0
"AA1PCRx1B",0,0,0,0,0,0
"AA1PCRx1C",1,0,1,0.000204019177802713,0,0.000204019177802713
"AA2A",1,0,1,0.000195006071779962,0,0.000195006071779962
"AA2B",1,0,1,0.00033219106231205,0,0.00033219106231205
"AA2C",2,0,2,0.000301742057478509,0,0.000301742057478509
"AA2MF09AA",15,1,16,0.0717714692111658,0.000677328953272769,0.0724487981644385
"AA2MF09AB",14,1,15,0.066838630768507,0.000744829316481897,0.0675834600849889
"AA2MF09AC",14,3,17,0.0678763440860215,0.000748847926267281,0.0686251920122888
"AA2MF13AA",11,1,12,0.0625827656837994,0.000562092125946744,0.0631448578097461
"AA2MF13AB",11,3,14,0.0689735474378381,0.000656286056038361,0.0696298334938764
"AA2MF13AC",11,2,13,0.0652028207040432,0.000547526219897858,0.065750346923941
"AA3A",0,0,0,0,0,0
"AA3B",0,0,0,0,0,0
"AA3C",0,0,0,0,0,0
"AA3MF09AA",15,2,17,0.069952359735408,0.000813997326661411,0.0707663570620694
"AA3MF09AB",11,1,12,0.0752916111850866,0.000766977363515313,0.0760585885486019
"AA3MF09AC",17,2,19,0.162050568817707,0.00165158149794096,0.163702150315648
"AA3MF13AA",18,3,21,0.170093137044508,0.00161380316751792,0.171706940212026
"AA3MF13AB",12,3,15,0.167317275133449,0.00169306066923953,0.169010335802688
"AA3MF13AC",12,3,15,0.171005662676511,0.0014550928248871,0.172460755501398
"AA4A",0,0,0,0,0,0
"AA4B",0,0,0,0,0,0
"AA4C",0,0,0,0,0,0
"AA4MF09AA",15,1,16,0.156841843088418,0.00134495641344956,0.158186799501868
"AA4MF09AB",18,2,20,0.156560088202867,0.00155237045203969,0.158112458654906
"AA4MF09AC",17,3,20,0.177108792846498,0.00191301991600054,0.179021812762498
"AA4MF13AA",18,2,20,0.16923711506152,0.00182094387267478,0.171058058934195
"AA4MF13AB",16,4,20,0.179946614899296,0.00152390196554234,0.181470516864839
"AA4MF13AC",15,3,18,0.18005451608561,0.00169100821106475,0.181745524296675
"AA5A",1,0,1,4.11963417648513e-05,0,4.11963417648513e-05
"AA5B",1,0,1,0.000290537419729726,0,0.000290537419729726
"AA5C",1,0,1,7.71188401326444e-05,0,7.71188401326444e-05
"DCSamplingBlank",10,1,11,0.00897423207628097,8.24837507011119e-05,0.00905671582698209
"ExtrBlankPCA",4,0,4,0.0182100933079161,0,0.0182100933079161
"ExtrBlankPCB",5,0,5,0.0270225737353765,0,0.0270225737353765
"ExtrBlankPCC",6,1,7,0.0609760132340778,0.00499586435070306,0.0659718775847808
"ExtrBlankPWA",2,2,4,0.0145801334219757,0.0226954907040187,0.0372756241259944
"ExtrBlankPWB",6,0,6,0.0208726965567831,0,0.0208726965567831
"ExtrBlankPWC",9,0,9,0.0210923767983855,0,0.0210923767983855
"MF09APC",23,3,26,0.30841302207847,0.00558993109267332,0.314002953171143
"MF09APCRx1A",21,5,26,0.343279762514075,0.00432856119210915,0.347608323706184
"MF09APCRx1B",6,0,6,0.0184165916748634,0,0.0184165916748634
"MF09APCRx1C",19,1,20,0.162524010535881,0.00234641883576218,0.164870429371643
"MF09APW",17,1,18,0.523815017616102,0.00136669003647465,0.525181707652577
"MF10APC",17,0,17,0.472449215906835,0,0.472449215906835
"MF10APW",13,1,14,0.526738537907511,0.000525330044310447,0.527263867951822
"MF11APC",25,2,27,0.494646484502981,0.0260598912260009,0.520706375728982
"MF11APW",26,1,27,0.688000279327171,0.000100383201962273,0.688100662529133
"MF13APC",28,6,34,0.4540126112655,0.00637616555459944,0.460388776820099
"MF13APCRx1A",36,8,44,0.507315366128543,0.00564026822151433,0.512955634350057
"MF13APCRx1B",33,6,39,0.470819872522483,0.00627783113594691,0.47709770365843
"MF13APCRx1C",14,3,17,0.159990024004739,0.00302397356361256,0.163013997568351
"MF13APW",28,6,34,0.412989169041177,0.00537956245161187,0.418368731492789
"MF14APC",37,9,46,0.321797773569218,0.00987574483809876,0.331673518407317
"MF14APW",27,6,33,0.276681743125853,0.00222557254648575,0.278907315672338
"MF14BPC",24,5,29,0.301640487918314,0.00181806650740968,0.303458554425724
"MF14BPW",25,4,29,0.308835210017287,0.00177545203943372,0.310610662056721
"MOCK005PCA",0,1,1,0,3.54493650132492e-05,3.54493650132492e-05
"MOCK005PCB",0,0,0,0,0,0
"MOCK005PCC",0,0,0,0,0,0
"MOCK005PWA",0,0,0,0,0,0
"MOCK005PWB",1,0,1,1.66296656605719e-05,0,1.66296656605719e-05
"MOCK005PWC",0,0,0,0,0,0
"MOCK007PCA",0,0,0,0,0,0
"MOCK007PCB",0,0,0,0,0,0
"MOCK007PCC",1,0,1,4.5501701763646e-05,0,4.5501701763646e-05
"MOCK007PWA",0,0,0,0,0,0
"MOCK007PWB",1,0,1,2.52529503863701e-05,0,2.52529503863701e-05
"MOCK007PWC",0,0,0,0,0,0
"MOCK008PCA",1,0,1,0.000173081159329074,0,0.000173081159329074
"MOCK008PCB",2,0,2,0.000245500176225374,0,0.000245500176225374
"MOCK008PCC",2,0,2,0.000357844718857243,0,0.000357844718857243
"MOCK008PWA",0,0,0,0,0,0
"MOCK008PWB",0,0,0,0,0,0
"MOCK008PWC",1,0,1,0.000549547173129341,0,0.000549547173129341
"PB20121026St2000",38,7,45,0.0539063848802137,0.00280296952278428,0.056709354402998
"PB20121026St2075",31,9,40,0.221575311472443,0.00465574627691132,0.226231057749354
"PB20131114St4300A",33,5,38,0.0578705406399412,0.0126241265171019,0.070494667157043
"PB20131114St4300B",33,3,36,0.0582755966127791,0.0121343341031563,0.0704099307159353
"PB20131114St4300C",35,6,41,0.0561322646652934,0.00935424442042434,0.0654865090857178
"PB20140925St1000",36,3,39,0.183244864989615,0.00115393491807062,0.184398799907685
"PB20140925St2000",41,4,45,0.330694301592926,0.000579088842600195,0.331273390435527
"PCRBlank",3,0,3,0.010741263064351,0,0.010741263064351
"AA1AA",3,0,3,0.000789789600050547,0,0.000789789600050547
"AA1BA",2,0,2,0.000432013429446035,0,0.000432013429446035
"AA1CA",2,0,2,9.60447568566952e-05,0,9.60447568566952e-05
"ExtractBlank01A",9,0,9,0.107573047107931,0,0.107573047107931
"ExtractBlank02A",15,0,15,0.39105371099163,0,0.39105371099163
"ExtractBlank03A",12,0,12,0.25560607687993,0,0.25560607687993
"PB20110322St10m",35,2,37,0.207761029768777,0.00795200742331222,0.215713037192089
"PB20110413St10m",15,1,16,0.0606644046397854,0.000331413240748047,0.0609958178805334
"PB20110413St20m",11,0,11,0.319849463250113,0,0.319849463250113
"PB20110726St20m",35,11,46,0.0475995747117036,0.00472129489877098,0.0523208696104746
"PB20110726St40m",44,7,51,0.145341128635107,0.0015194945681226,0.146860623203229
"PB20110907St20m",27,2,29,0.0795758897755198,0.000220890741916779,0.0797967805174366
"PB20110907St30m",32,6,38,0.257489201616274,0.0111865283942754,0.26867573001055
"PB20110907St40m",31,5,36,0.174417962385042,0.00113231517026154,0.175550277555304
"PB20110907St50m",29,8,37,0.377731812041683,0.0101975588575839,0.387929370899267
