"","rm.prok.asvs.no.conflict","rm.prok.asvs.w.conflict","total.rm.prok.asv","rm.prok.rel.ab.no.conflict","rm.prok.rel.ab.w.conflict","total.rm.prok.rel.ab"
"AA1A",0,0,0,0,0,0
"AA1B",2,0,2,9.85833571576446e-05,0,9.85833571576446e-05
"AA1C",1,0,1,0.000145562173243247,0,0.000145562173243247
"AA1DeepA",15,0,15,0.00685139742448262,0,0.00685139742448262
"AA1DeepB",13,0,13,0.0057316591499876,0,0.0057316591499876
"AA1DeepC",15,0,15,0.00611520076907328,0,0.00611520076907328
"AA1MF09AA",22,0,22,0.0944614819316271,0,0.0944614819316271
"AA1MF09AB",20,0,20,0.0971116620992649,0,0.0971116620992649
"AA1MF09AC",21,0,21,0.0955020616263751,0,0.0955020616263751
"AA1MF13AA",27,0,27,0.0658634675028118,0,0.0658634675028118
"AA1MF13AB",22,0,22,0.0357000874612388,0,0.0357000874612388
"AA1MF13AC",22,0,22,0.0346288600994052,0,0.0346288600994052
"AA1PCRx1A",2,0,2,0.000128179565328852,0,0.000128179565328852
"AA1PCRx1B",0,0,0,0,0,0
"AA1PCRx1C",3,0,3,0.00307728926519093,0,0.00307728926519093
"AA2A",0,0,0,0,0,0
"AA2B",2,0,2,0.00116266871809217,0,0.00116266871809217
"AA2C",1,0,1,6.70537905507798e-05,0,6.70537905507798e-05
"AA2MF09AA",22,0,22,0.0476670250865711,0,0.0476670250865711
"AA2MF09AB",19,0,19,0.0432941840590846,0,0.0432941840590846
"AA2MF09AC",20,0,20,0.0463997695852535,0,0.0463997695852535
"AA2MF13AA",23,0,23,0.0303243938455676,0,0.0303243938455676
"AA2MF13AB",19,0,19,0.0325920123635825,0,0.0325920123635825
"AA2MF13AC",25,0,25,0.0313600362500118,0,0.0313600362500118
"AA3A",0,0,0,0,0,0
"AA3B",1,0,1,0.000216667118056496,0,0.000216667118056496
"AA3C",1,0,1,0.00182074834802889,0,0.00182074834802889
"AA3MF09AA",22,0,22,0.0543407478493334,0,0.0543407478493334
"AA3MF09AB",21,0,21,0.0571717709720373,0,0.0571717709720373
"AA3MF09AC",19,0,19,0.0477002814207947,0,0.0477002814207947
"AA3MF13AA",25,0,25,0.030619339885832,0,0.030619339885832
"AA3MF13AB",25,0,25,0.0279909506276893,0,0.0279909506276893
"AA3MF13AC",24,0,24,0.0260196401691635,0,0.0260196401691635
"AA4A",2,0,2,0.00172850363137386,0,0.00172850363137386
"AA4B",0,0,0,0,0,0
"AA4C",0,0,0,0,0,0
"AA4MF09AA",18,0,18,0.0473524283935243,0,0.0473524283935243
"AA4MF09AB",22,0,22,0.0463065049614112,0,0.0463065049614112
"AA4MF09AC",21,0,21,0.0425687576209186,0,0.0425687576209186
"AA4MF13AA",23,0,23,0.0315496131751829,0,0.0315496131751829
"AA4MF13AB",25,0,25,0.0313224945401602,0,0.0313224945401602
"AA4MF13AC",27,0,27,0.0342576389823664,0,0.0342576389823664
"AA5A",1,0,1,4.8686585722097e-05,0,4.8686585722097e-05
"AA5B",0,0,0,0,0,0
"AA5C",3,0,3,0.000207627646510966,0,0.000207627646510966
"DCSamplingBlank",40,0,40,0.111946946451549,0,0.111946946451549
"ExtrBlankPCA",30,0,30,0.702844386475369,0,0.702844386475369
"ExtrBlankPCB",33,0,33,0.799349151425276,0,0.799349151425276
"ExtrBlankPCC",46,0,46,0.596625310173697,0,0.596625310173697
"ExtrBlankPWA",14,0,14,0.269090575640173,0,0.269090575640173
"ExtrBlankPWB",46,0,46,0.855269300020006,0,0.855269300020006
"ExtrBlankPWC",27,0,27,0.467938285267886,0,0.467938285267886
"MF09APC",31,0,31,0.119287020109689,0,0.119287020109689
"MF09APCRx1A",27,0,27,0.0975023032040127,0,0.0975023032040127
"MF09APCRx1B",28,0,28,0.266496452713308,0,0.266496452713308
"MF09APCRx1C",31,0,31,0.154461071301227,0,0.154461071301227
"MF09APW",29,0,29,0.0623707634827522,0,0.0623707634827522
"MF10APC",29,0,29,0.0624627803877457,0,0.0624627803877457
"MF10APW",30,0,30,0.0728609931021881,0,0.0728609931021881
"MF11APC",22,0,22,0.0668435882314396,0,0.0668435882314396
"MF11APW",28,0,28,0.0382634578957935,0,0.0382634578957935
"MF13APC",54,1,55,0.0913258756647717,2.82131219230064e-05,0.0913540887866947
"MF13APCRx1A",53,0,53,0.0917984530432232,0,0.0917984530432232
"MF13APCRx1B",43,0,43,0.0913909019470881,0,0.0913909019470881
"MF13APCRx1C",41,0,41,0.305701904791595,0,0.305701904791595
"MF13APW",41,0,41,0.096353231329167,0,0.096353231329167
"MF14APC",49,1,50,0.120208785625202,4.61915100004619e-05,0.120254977135203
"MF14APW",41,0,41,0.113001651231244,0,0.113001651231244
"MF14BPC",46,0,46,0.114474769042133,0,0.114474769042133
"MF14BPW",43,0,43,0.117051347941877,0,0.117051347941877
"MOCK005PCA",38,0,38,0.0846708083341457,0,0.0846708083341457
"MOCK005PCB",39,0,39,0.0803989135767017,0,0.0803989135767017
"MOCK005PCC",47,0,47,0.104187531296945,0,0.104187531296945
"MOCK005PWA",29,0,29,0.0854150665057362,0,0.0854150665057362
"MOCK005PWB",32,0,32,0.0679654435547573,0,0.0679654435547573
"MOCK005PWC",28,0,28,0.0898120435771579,0,0.0898120435771579
"MOCK007PCA",5,0,5,0.000783644870583354,0,0.000783644870583354
"MOCK007PCB",8,0,8,0.00150997988200457,0,0.00150997988200457
"MOCK007PCC",8,0,8,0.0028666072111097,0,0.0028666072111097
"MOCK007PWA",4,0,4,0.000770629491730886,0,0.000770629491730886
"MOCK007PWB",4,0,4,0.000824929712621425,0,0.000824929712621425
"MOCK007PWC",5,0,5,0.00144480900763685,0,0.00144480900763685
"MOCK008PCA",4,0,4,0.000715926613588444,0,0.000715926613588444
"MOCK008PCB",8,0,8,0.000517737995405987,0,0.000517737995405987
"MOCK008PCC",8,0,8,0.000774352506379609,0,0.000774352506379609
