"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","kingdom","supergroup","division","class","order","family","genus","species"
"Archaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Euryarchaeota","Diaforarchaea group","Thermoplasmata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Oligoflexia","Oligoflexales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Oligoflexia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Oligoflexia","Bdellovibrionales","Bdellovibrionaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Stramenopiles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Stramenopiles",NA,NA,NA,NA,NA,NA
"Eukaryota","Alveolata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota","Alveolata","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium",NA
"Bacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Coxiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bacteria",NA,NA,NA,NA,NA,NA,NA
