"","not.mapped"
"1","Mediophyceae_fa"
"2","Mediophyceae_or"
"3","Ochrophyta_ph"
"4","Coscinodiscophytina_cl"
"5","Calanoida"
"6","Veneroida"
"7","Marine_Choanoflagellates_1"
"8","Stephanoecidae"
"9","Acanthoecida_or"
"10","Cyclopoida"
"11","Tremellales"
"12","Sporidiobolaceae"
"13","Sporidiobolales"
"14","Narcomedusae"
"15","Phyllodocida"
"16","Polychaeta"
"17","Embryophyta"
"18","Phragmoplastophyta"
"19","Oligotrichia"
"20","SS1-E01-69"
"21","Holozoa_ph"
"22","Bacillariophyceae_fa"
"23","Bacillariophyceae_or"
"24","Ectocarpales"
"25","Ectocarpales_fa"
"26","Chromulinales_fa"
"27","Chromulinales"
"28","Ochromonadales_fa"
"29","Ochromonadales"
"30","Chattonellales_fa"
"31","Chattonellales"
"32","Coscinodiscophytina_or"
"33","Fragilariales_fa"
"34","Rhizosolenids"
"35","Prasinophytae"
"36","Oikopleuridae"
"37","Copelata"
"38","OLI16029"
"39","Cydippida"
"40","Tentaculata"
"41","ANT37-16"
"42","T58"
"43","Dictyotales"
"44","Merotricha"
"45","Diplostraca"
"46","Prymnesiophyceae_cl"
"47","Subclade_B"
"48","Clade_VII"
"49","Ustilaginaceae"
"50","Ustilaginales"
"51","Dothideales"
"52","Ophiuroidea"
"53","Syndiniales_Group_I"
"54","Heteronemertea"
"55","Anopla"
"56","Ctenostomatida"
"57","Gymnolaemata"
"58","Holothuroidea"
"59","Trachymedusae"
"60","Scolecida_or"
"61","Intramacronucleata"
"62","Myoida"
"63","Spionida"
"64","Palaeonemertea"
"65","Stolidobranchia"
"66","Lophophorata"
"67","Sabellida"
"68","Harrimaniidae"
"69","Harpacticoida"
"70","Lepismatidae"
"71","Zygentoma"
"72","Hymenoptera"
"73","Semaeostomeae"
"74","Filobasidiaceae"
"75","Filobasidiales"
"76","Didymellaceae"
"77","Aspergillaceae"
"78","Eurotiales"
"79","Parmeliaceae"
"80","Lecanorales"
"81","Caliciaceae"
"82","Caliciales"
"83","Incertae_Sedis"
"84","Aureobasidiaceae"
"85","Russulales"
"86","Solicoccozyma"
"87","Piskurozymaceae"
"88","Cryptococcaceae"
"89","Naganishia"
"90","Vishniacozyma"
"91","Bulleribasidiaceae"
"92","Hymenochaetopsis"
"93","Hymenochaetaceae"
"94","Symmetrospora"
"95","Debaryomycetaceae"
"96","Candida_glaebosa_clade"
"97","Agaricostilbales"
"98","Robbauera"
"99","Robbaueraceae"
"100","Robbauerales"
"101","AA5F1"
"102","Pav3"
"103","Siphonophorae"
"104","Leptothecata"
"105","Asteroidea"
"106","Echinoidea"
"107","Eunicida"
"108","Anthoathecata"
"109","Lobata"
"110","Beroida"
"111","Nuda"
"112","Spongillida"
"113","Leucosolenida"
"114","Tetractinellida"
"115","Clionaida"
"116","Xenopneusta"
"117","Echiuroinea"
"118","Exobasidiales"
"119","Pennatulacea"
"120","Actiniaria"
"121","Ceriantharia"
"122","Scleractinia"
"123","Zoantharia"
"124","Salpida"
"125","Thaliacea"
"126","Enterogona"
"127","Lingulida"
"128","Linguliformea"
"129","Pyrosomata"
"130","Adinetida"
"131","Bdelloidea"
"132","Siphonostomatoida"
"133","Dentaliida"
"134","Solemyoida"
"135","Phascolosomatiformes"
"136","Microstromatales"
"137","Haplosclerida"
"138","Capitellida"
"139","Haplotaxida"
"140","Clitellata"
"141","Opheliidae"
"142","Paraonidae"
"143","Actinopterygii"
"144","Sarcopterygii"
"145","Aves"
"146","Choreotrichia"
"147","Sinistrostrombidium"
"148","Opiliones"
"149","Rhizophydiaceae"
"150","Kappamycetaceae"
"151","Zoothamnium"
"152","Haptoria"
"153","Prostomatea"
"154","Conthreep"
"155","Novel_Apicomplexa_Class_2"
"156","Rimostrombidium"
"157","AI5F14RJ2A07"
"158","Katodinium"
"159","Gymnodiniphycidae_fa"
"160","Gymnodiniphycidae"
"161","Pleurochrysis"
"162","Reticulosphaera"
"163","SGUH624"
"164","OLI51059"
"165","Peridiniales_fa"
"166","shizugawa"
"167","Rhodymeniophycidae"
"168","Subclade_A"
"169","Cochlodinium"
"170","Peridiniphycidae_or"
"171","Thecate"
"172","Phalacroma"
"173","Gonyaulacales_fa"
"174","Corallinophycidae"
"175","Noctilucales_fa"
"176","Rhodymeniophycidae_fa"
"177","Rhodymeniophycidae_or"
"178","Corallinophycidae_fa"
"179","Corallinophycidae_or"
"180","Clade_IX"
"181","AT8-54"
"182","Chaetopeltidales_fa"
"183","Protosteliida"
"184","Coeloperix"
"185","Incertae_Sedis_fa"
"186","Incertae_Sedis_or"
"187","Incertae_Sedis_cl"
"188","Incertae_Sedis_ph"
"189","SA1-3C06"
"190","Euglenophyceae_or"
"191","Euglenaceae"
"192","Trypanosomatida_fa"
"193","Trypanosomatida"
"194","Parabodonida"
