"","not.mapped"
"1","Eukaryota_ph"
"2","Chattonellales_fa"
"3","Chattonellales"
"4","Calanoida"
"5","Marine Group"
"6","Veneroida"
"7","Marine Choanoflagellates 1"
"8","Stephanoecidae"
"9","Choanoflagellida_or"
"10","Novel Clade 2"
"11","Doliolida"
"12","Thaliacea"
"13","Cyclopoida"
"14","Tremellales"
"15","Protaspidae"
"16","Protaspis"
"17","Marine Ichthyosporeans 1"
"18","Abeoformidae_fa"
"19","Abeoformidae"
"20","Phyllodocida"
"21","Polychaeta"
"22","Oligotrichia"
"23","Spumellaria_fa"
"24","Spumellaria"
"25","Embryophyta"
"26","Phragmoplastophyta"
"27","Syndiniales Group II"
"28","Syndiniales Group I"
"29","Eukaryota_cl"
"30","SCM38C39 marine group"
"31","Diplonemea_fa"
"32","Diplonemea_or"
"33","Clade IX"
"34","FV36-2G08"
"35","Mediophyceae_fa"
"36","Mediophyceae_or"
"37","Ectocarpales_fa"
"38","Ectocarpales"
"39","NOR26"
"40","Chlorarachniophyta_fa"
"41","Chlorarachniophyta_or"
"42","Chlorarachniophyta"
"43","ANT37-16"
"44","Diatomea_cl"
"45","Bacillariophyceae_fa"
"46","Bacillariophyceae_or"
"47","Raphidophyceae_fa"
"48","Raphidophyceae_or"
"49","Ochromonadales_fa"
"50","Ochromonadales"
"51","Chromulinales_fa"
"52","Chromulinales"
"53","Bicosta"
"54","T58"
"55","Sporidiobolaceae"
"56","Sporidiobolales"
"57","Eukaryota_fa"
"58","Eukaryota_or"
"59","Diatomea_fa"
"60","Diatomea_or"
"61","Fragilariales_fa"
"62","Duboscquella"
"63","SSRPB68"
"64","Acantharia"
"65","Retaria"
"66","OLI16029"
"67","Oikopleuridae"
"68","Copelata"
"69","SS1-E01-69"
"70","Ankylochrisis"
"71","Ploimida"
"72","Monogononta"
"73","Ophiuroidea"
"74","Cydippida"
"75","Tentaculata"
"76","Gymnodiniphycidae"
"77","Subclade B"
"78","Clade VII"
"79","Sorodiplophrys"
"80","Labyrinthulomycetes_fa"
"81","Labyrinthulomycetes_or"
"82","Merotricha"
"83","Leptothecata"
"84","ME-Euk-FW10"
"85","Prymnesiophyceae_cl"
"86","Subclade A"
"87","Ustilaginaceae"
"88","Ustilaginales"
"89","Dothideaceae"
"90","Dothideales"
"91","Chromadorida"
"92","Heteronemertea"
"93","Anopla"
"94","Teuthida"
"95","Cephalopoda_or"
"96","Sagittoidea"
"97","Ctenostomatida"
"98","Gymnolaemata"
"99","Holothuroidea"
"100","Orbiniidae"
"101","Polychaeta_or"
"102","Pholadomyoida"
"103","Myoida"
"104","Spionida"
"105","Sessilia"
"106","Halocyprida"
"107","Agaricales"
"108","Stolidobranchia"
"109","Phoroniformea"
"110","Lophophorata"
"111","Harrimaniidae"
"112","Poecilostomatoida"
"113","Harpacticoida"
"114","BB01-173"
"115","Marimonadida_fa"
"116","Cyranomonas"
"117","Cercozoa_fa"
"118","Cercozoa_or"
"119","Cercozoa_cl"
"120","NAMAKO-15"
"121","Diplostraca"
"122","Blattodea"
"123","Hymenoptera"
"124","Thysanoptera"
"125","Semaeostomeae"
"126","Filobasidiaceae"
"127","Filobasidiales"
"128","Botrytis"
