"","not.mapped"
"1","Calanidae"
"2","Calanoida"
"3","Gymnoplea"
"4","Neocopepoda"
"5","Copepoda"
"6","Hexanauplia"
"7","Multicrustacea"
"8","Thalassiosirales"
"9","Thalassiosirophycidae"
"10","Coscinodiscophyceae"
"11","Olisthodiscus luteus"
"12","Heterosigma akashiwo"
"13","Veneroida"
"14","Euheterodonta"
"15","Heterodonta"
"16","leotiomyceta"
"17","Protaspa sp."
"18","unclassified Protaspa"
"19","Thecofilosea"
"20","Phyllodocida"
"21","Aciculata"
"22","Palpata"
"23","Polychaeta"
"24","Choanoflagellata"
"25","Spionida"
"26","Scolecida"
"27","Liriope tetraphylla"
"28","Geryoniidae"
"29","Trachymedusae"
"30","Trachylinae"
"31","Eumetazoa"
"32","Bilateria"
"33","Paracalanidae"
"34","Euphausiacea"
"35","Eucarida"
"36","Eumalacostraca"
"37","Holometabola"
"38","Neoptera"
"39","Pterygota"
"40","Dicondylia"
"41","Fungi incertae sedis"
"42","Spumellaria"
"43","Spermatophyta"
"44","Euphyllophyta"
"45","Tracheophyta"
"46","Embryophyta"
"47","Streptophytina"
"48","Mesangiospermae"
"49","Magnoliopsida"
"50","Paracalanus parvus"
"51","Gonyaulax polygramma"
"52","Eutheria"
"53","Theria"
"54","Peronosporaceae"
"55","Thraustochytrium sp."
"56","unclassified Thraustochytrium"
"57","Biddulphiophycidae"
"58","Mediophyceae"
"59","Bicosoeca vacillans"
"60","Bacillariophycidae"
"61","Bacillariophyceae"
"62","PX clade"
"63","Oomycetes"
"64","Rhizosoleniaceae"
"65","Rhizosoleniales"
"66","Rhizosoleniophycidae"
"67","Chromulinales"
"68","Chromulinaceae"
"69","Chattonellaceae"
"70","Chattonellales"
"71","Pseudopirsonia mucosa"
"72","Coscinodiscales"
"73","Coscinodiscophycidae"
"74","Actinocyclus curvatulus"
"75","Viridiplantae"
"76","Chaetoceros sp."
"77","unclassified Chaetoceros"
"78","Coscinodiscaceae"
"79","Chaetocerotales"
"80","Chaetocerotophycidae"
"81","Oligotrichia"
"82","Oikopleuridae"
"83","Copelata"
"84","Ophiuridea"
"85","Ophiuroidea"
"86","Asterozoa"
"87","Eleutherozoa"
"88","Hyphochytrium catenoides"
"89","Paragymnodinium shiwhaense"
"90","Pteriomorphia"
"91","Leptothecata"
"92","Hydroidolina"
"93","Chaetocerotaceae"
"94","Chaetoceros costatus"
"95","Cladocera"
"96","Diplostraca"
"97","Phyllopoda"
"98","Bathycoccus prasinos"
"99","Euduboscquella crenulata"
"100","Chloroparvula pacifica"
"101","Sphaenacanthida"
"102","Gregarinasina"
"103","Conoidasida"
"104","Gnathostomata"
"105","Euthyneura <gastropods>"
"106","Ecdysozoa"
"107","Protostomia"
"108","Deuterostomia"
"109","Lophotrochozoa"
"110","Echinozoa"
"111","Eunicida"
"112","Terebellida"
"113","Pancrustacea"
"114","Mandibulata"
"115","Thaumatomastix sp."
"116","unclassified Thaumatomastix"
"117","Sabellida"
"118","Canalipalpata"
"119","Imbricatea"
"120","Podoplea"
"121","Mytilidae"
"122","Mytiloidea"
"123","Metridinidae"
"124","Ebriacea"
"125","Botuliforma benthica"
"126","Eurotiales"
"127","Eurotiomycetidae"
"128","Heteroscleromorpha"
"129","Protaspidae"
"130","Dikarya"
"131","Mataza hastifera"
"132","Cryothecomonas sp."
"133","unclassified Cryothecomonas"
"134","saccharomyceta"
"135","Pilidiophora"
"136","Octocorallia"
"137","Monogononta"
"138","Heteronemertea"
"139","Tentaculata"
"140","Chordata"
"141","Haplosclerida"
"142","Capitellida"
"143","Silicofilosea"
"144","Amastigomonas sp."
"145","unclassified Amastigomonas"
"146","Euteleostomi"
"147","Teleostomi"
"148","Capitellidae"
"149","Amniota"
"150","Tetrapoda"
"151","Dipnotetrapodomorpha"
"152","Sarcopterygii"
"153","Tontoniidae"
"154","Homininae"
"155","Hominidae"
"156","Hominoidea"
"157","Catarrhini"
"158","Simiiformes"
"159","Haplorrhini"
"160","Primates"
"161","Euarchontoglires"
"162","Boreoeutheria"
"163","Euopisthobranchia"
"164","Neoparamoeba sp."
"165","unclassified Neoparamoeba"
"166","Leegaardiella sp."
"167","unclassified Leegaardiella"
"168","Intramacronucleata"
"169","Protoperidinium depressum"
"170","Chrysocampanula spinifera"
"171","Haptoria"
"172","Evosea"
"173","Plagiacanthidae"
"174","Hematodinium sp."
"175","unclassified Hematodinium"
"176","Pterocanium trilobum"
"177","Actinommidae"
"178","Noctiluca scintillans"
"179","Lithomelissa setosa"
"180","TCBD clade"
"181","Theoperidae"
"182","Chrysochromulina scutellum"
"183","Poaceae"
"184","Poales"
"185","commelinids"
"186","Petrosaviidae"
"187","Liliopsida"
"188","Apiineae"
"189","Apiales"
"190","campanulids"
"191","asterids"
"192","Pentapetalae"
"193","Gunneridae"
"194","eudicotyledons"
"195","Pterista"
"196","Margalefidinium fulvescens"
"197","Postciliodesmatophora"
"198","Asulcocephalium miricentonis"
"199","Akashiwo sanguinea"
"200","Syndiniaceae"
"201","Cryptoperidiniopsis brodyi"
"202","Protoperidinium monovelum"
"203","Rhodymeniophycidae"
"204","Pfiesteriaceae"
"205","Dinophysis acuminata"
"206","Eucyrtidium hexastichum"
"207","Ceratospyris hyperborea"
"208","Chlamydomonadaceae"
"209","Peritrichia"
"210","Choreotrichia"
"211","Phyllopharyngia"
"212","Pithites vorax"
"213","Protoperidinium conicum"
"214","Miliolina"
"215","Euplotida"
"216","Apostomatida"
"217","Flabellinia"
"218","Discosea"
