"","not.mapped"
"1","Calanoida"
"2","Gymnoplea"
"3","Neocopepoda"
"4","Copepoda"
"5","Hexanauplia"
"6","Multicrustacea"
"7","Mediophyceae"
"8","Chattonellaceae"
"9","Chattonellales"
"10","Amniota"
"11","Tetrapoda"
"12","Dipnotetrapodomorpha"
"13","Sarcopterygii"
"14","Euteleostomi"
"15","Teleostomi"
"16","Gnathostomata"
"17","Hexacorallia"
"18","Veneroida"
"19","Euheterodonta"
"20","Heterodonta"
"21","Stephanoecidae"
"22","Podoplea"
"23","Eurotiomycetidae"
"24","Trachylinae"
"25","Phyllodocida"
"26","Aciculata"
"27","Palpata"
"28","Polychaeta"
"29","Spionida"
"30","Scolecida"
"31","Capitellida"
"32","Oligotrichia"
"33","Embryophyta"
"34","Streptophytina"
"35","Aphelidea"
"36","Aphelida"
"37","Viridiplantae"
"38","Telonema"
"39","Telonemida"
"40","unclassified eukaryotes"
"41","Bilateria"
"42","Eumetazoa"
"43","Oomycetes"
"44","Biddulphiophycidae"
"45","Bolidomonas"
"46","Bacillariophycidae"
"47","Bacillariophyceae"
"48","Rhizosoleniaceae"
"49","Rhizosoleniales"
"50","Rhizosoleniophycidae"
"51","Coscinodiscophyceae"
"52","Chromulinales"
"53","Chromulinaceae"
"54","Aspergillaceae"
"55","Eurotiales"
"56","Dikarya"
"57","Coscinodiscales"
"58","Coscinodiscophycidae"
"59","Oikopleuridae"
"60","Copelata"
"61","Biddulphiaceae"
"62","Biddulphiales"
"63","Melosirales"
"64","Ophiuroidea"
"65","Asterozoa"
"66","Eleutherozoa"
"67","Tentaculata"
"68","Siphonophorae"
"69","Hydroidolina"
"70","Diplostraca"
"71","Phyllopoda"
"72","leotiomyceta"
"73","Granofilosea"
"74","Heteronemertea"
"75","Pilidiophora"
"76","Lophotrochozoa"
"77","Protostomia"
"78","Deuterostomia"
"79","Chordata"
"80","Echinozoa"
"81","Trachymedusae"
"82","Choreotrichia"
"83","Terebellida"
"84","Holometabola"
"85","Neoptera"
"86","Pterygota"
"87","Dicondylia"
"88","Pteriomorphia"
"89","Tunicata"
"90","Leptothecata"
"91","Anthoathecata"
"92","Pancrustacea"
"93","Mandibulata"
"94","Ecdysozoa"
"95","Filobasidiales"
"96","Fungi incertae sedis"
"97","Choanoflagellata"
"98","Salpida"
"99","Thaliacea"
"100","Prostomatea"
"101","Intramacronucleata"
"102","Rimostrombidium"
"103","Rhodymeniophycidae"
"104","Syndiniaceae"
"105","Blastodiniales"
"106","Tontoniidae"
"107","Phyllopharyngia"
"108","Trypanosomatidae"
