"","x"
"1","MAST-12D_XX_sp."
"2","Heterosigma_carterae"
"3","Stephanoecidae_Group_E_X_sp."
"4","Ventrifissuridae_X_sp."
"5","Oithona_sp."
"6","Clausocalanus_furcatus"
"7","Rasamsonia_argillacea"
"8","Tremella_foliacea"
"9","Protaspa_longipes"
"10","Rhodotorula_glutinis"
"11","Abeoformidae_Group_MAIP_2_X_sp."
"12","Chlorarachnida_XX_sp."
"13","Picomonas_judraskeda"
"14","Corycaeus_speciosus"
"15","Telonemia-Group-2_X_sp."
"16","Strombidiida_F_XX_sp."
"17","Liriope_tetraphylla"
"18","Nyctiphanes_simplex"
"19","Enterospora_nucleophila"
"20","Spumellarida-Group-I_X_sp."
"21","Stylodictya_sp."
"22","Gyrodinium_dominans"
"23","Dino-Group-I-Clade-1_X_sp."
"24","Arthracanthida-Symphyacanthida_XX_sp."
"25","Tontoniidae_B_X_sp."
"26","DSPD-1_X_sp."
"27","Neocalanus_cristatus"
"28","Spumellarida_XX_sp."
"29","Gregarines_GRE2_XX_sp."
"30","MAST-1C_XX_sp."
"31","Oomycota_XXX_sp."
"32","Aggregata_sp."
"33","MOCH-5_XXX_sp."
"34","MAST-4D_XX_sp."
"35","MAST-9D_XX_sp."
"36","Pseudo-nitzschia_heimii"
"37","Pseudo-nitzschia_fraudulenta"
"38","MAST-9C_XX_sp."
"39","Chaetoceros_anastomosans"
"40","Aplanochytrium_kerguelense"
"41","Chaetoceros_cinctus"
"42","Caecitellus_paraparvulus"
"43","Parmales_env_2_X_sp."
"44","Costaria_costata"
"45","MAST-10_XXX_sp."
"46","Chaetoceros_debilis_2"
"47","Parmales_env_1_X_sp."
"48","Paracalanus_parvus"
"49","MOCH-2_XXX_sp."
"50","MAST-8B_XX_sp."
"51","Porosira_glacialis"
"52","Chaetoceros_lauderi"
"53","Chaetoceros_brevis_2"
"54","Chaetoceros_protuberans"
"55","Calocalanus_sp."
"56","Chrysophyceae_Clade-H_X_sp."
"57","MAST-9_XXX_sp."
"58","Haplogloia_andersonii"
"59","NPK2-lineage_X_sp."
"60","Haliphthorales_X_sp."
"61","Amastigomonas_mutabilis"
"62","Pythium_ultimum"
"63","Chaetoceros_didymus_2"
"64","Phaeocystis_jahnii"
"65","Poteriospumella_lacustris"
"66","Olisthodiscus_luteus"
"67","Chattonella_marina"
"68","Chrysophyceae_Clade-B2_X_sp."
"69","Pirsonia_punctigera"
"70","Spumella_elongata"
"71","MAST-1D_XX_sp."
"72","Nannochloropsis_gaditana"
"73","Developayella_elegans"
"74","MOCH-4_XXX_sp."
"75","Stephanoecidae_Group_D_X_sp."
"76","MAST-3F_XX_sp."
"77","MAST-3E_XX_sp."
"78","Haptophyta_Clade_HAP2_XXX_sp."
"79","Pelagomonadaceae_X_sp."
"80","MAST-9A_XX_sp."
"81","Dictyocha_speculum"
"82","Aspergillus_silvaticus"
"83","Ventricleftida_XX_sp."
"84","Rhizosolenia_similoides"
"85","Pseudo-nitzschia_multiseries"
"86","Actinocyclus_curvatulus"
"87","MAST-2C_XX_sp."
"88","Triparma_eleuthera"
"89","Bicosoeca_sp."
"90","Rhizosolenia_fallax"
"91","MAST-8D_XX_sp."
"92","MAST-3I_XX_sp."
"93","Navicula_radiosa"
"94","Aplanochytrium_stocchinoi"
"95","MAST-3J_XX_sp."
"96","MAST-4B_XX_sp."
"97","MAST-4A_XX_sp."
"98","MAST-4C_XX_sp."
"99","MAST-7D_XX_sp."
"100","MAST-7E_XX_sp."
"101","MAST-7B_XX_sp."
"102","Triparma_mediterranea"
"103","Parmales_env_3_X_sp."
"104","MAST-6_XXX_sp."
"105","Chaetoceros_contortus"
"106","Coscinodiscus_radiatus"
"107","Conticribra_weissflogii"
"108","Pseudo-nitzschia_delicatissima"
"109","Chaetoceros_rostratus"
"110","Chaetoceros_eibenii"
"111","Caecitellus_pseudoparvulus"
"112","Asterionella_formosa"
"113","Grammonema_striatula"
"114","Synedra_hyperborea"
"115","Navicula_tripunctata"
"116","Fragilariopsis_sublineata"
"117","Chaetoceros_cf_convolutus"
"118","Pseudo-nitzschia_seriata"
"119","Attheya_longicornis"
"120","MAST-11_XXX_sp."
"121","Proboscia_alata"
"122","MAST-3K_XX_sp."
"123","MAST-8C_XX_sp."
"124","MAST-12E_XX_sp."
