"","x"
"1","Marine_Group_III"
"2","Silvanigrella"
"3","Amylibacter"
"4","Coxiella"
"5","Candidatus_Scalindua"
"6","Planctopirus"
"7","SH-PL14"
"8","Gimesia"
"9","Planctomicrobium"
"10","Rhodopirellula"
"11","Pirellula"
"12","Blastopirellula"
"13","Rubripirellula"
"14","MD3-55"
"15","Candidatus_Bealeia"
"16","CL500-3"
"17","FS140-16B-02_marine_group"
"18","JL-ETNP-F27"
"19","LS-NOB"
"20","Desulfovibrio"
"21","Nitrospina"
"22","Candidatus_Caldatribacterium"
"23","Nitrospira"
"24","Oligoflexus"
"25","Pseudobacteriovorax"
"26","OM27_clade"
"27","Desulfocella"
"28","Halobacteriovorax"
"29","Peredibacter"
"30","Salinisphaera"
"31","Oceanococcus"
"32","Poseidonibacter"
"33","Tabrizicola"
"34","Paenirhodobacter"
"35","Cereibacter"
"36","Candidatus_Puniceispirillum"
"37","Haliangium"
"38","Sandaracinus"
"39","Polyangium"
"40","Pajaroellobacter"
"41","Enhydrobacter"
"42","Microvirgula"
"43","Modicisalibacter"
"44","Spongiibacter"
"45","Salinimonas"
"46","Idiomarina"
"47","Simonsiella"
"48","Bergeriella"
"49","Nitrosospira"
"50","Pluralibacter"
"51","Rehaibacterium"
"52","Oceanicoccus"
"53","Pandoraea"
"54","Halarcobacter"
"55","Sulfurimonas"
"56","Malaciobacter"
"57","Cucumibacter"
"58","Pseudophaeobacter"
"59","Zymomonas"
"60","Thermopetrobacter"
"61","Ectothiorhodospira"
"62","Candidatus_Phaeomarinobacter"
"63","Stappia"
"64","Halocynthiibacter"
"65","Marinibacterium"
"66","Marivivens"
"67","Celeribacter"
"68","Pseudoroseicyclus"
"69","Roseibium"
"70","Haematobacter"
"71","Pontivivens"
"72","Methylobacterium-Methylorubrum"
"73","Rhodovastum"
"74","Maricaulis"
"75","Acuticoccus"
"76","Rhodospirillum"
"77","Pararhodospirillum"
"78","Hirschia"
"79","Aurantimonas"
"80","Hellea"
"81","Cognatiyoonia"
"82","Oceanibulbus"
"83","Shimia"
"84","Clade_Ib"
"85","Rubritepida"
"86","Acidisoma"
"87","Haematospirillum"
"88","Thalassospira"
"89","OM75_clade"
"90","Ciceribacter"
"91","Nisaea"
"92","Roseococcus"
"93","Acinetobacter"
"94","Alkanindiges"
"95","Acidocella"
"96","MB11C04_marine_group"
"97","Subgroup_23"
"98","Lentimonas"
"99","Coraliomargarita"
"100","SCGC_AAA164-E04"
"101","Rubritalea"
"102","Persicirhabdus"
"103","Roseibacillus"
"104","Hyphomonas"
"105","Henriciella"
"106","Pseudooceanicola"
"107","Ponticaulis"
"108","SD04E11"
"109","Lentisphaera"
"110","Methanobacterium"
"111","Longimicrobium"
"112","Sphingomicrobium"
"113","Pelagicoccus"
"114","SM1A02"
"115","Marine_Choanoflagellates_1"
"116","Tetraselmis"
"117","SS1-E01-69"
"118","Diaphanoeca"
"119","Halothrix"
"120","Halodaphnea"
"121","Poteriospumella"
"122","Uroglena"
"123","Dictyocha"
