"","x"
"1","MAST-12D_XX_sp."
"2","Polar-centric-Mediophyceae_X_sp."
"3","Chrysophyceae_XXX_sp."
"4","Picozoa_XXXX_sp."
"5","Stephanoecidae_Group_E_X_sp."
"6","Ventrifissuridae_X_sp."
"7","Maxillopoda_X_sp."
"8","Protaspa-lineage_X_sp."
"9","Abeoformidae_Group_MAIP_2_X_sp."
"10","Fungi_XXXX_sp."
"11","Chlorarachnida_XX_sp."
"12","Telonemia-Group-2_X_sp."
"13","Enterospora_nucleophila"
"14","Stylodictya_sp."
"15","Spumellarida-Group-I_X_sp."
"16","Chlorodendrales_XX_sp."
"17","Dino-Group-I-Clade-5_X_sp."
"18","Dino-Group-II-Clade-10-and-11_X_sp."
"19","Arthracanthida-Symphyacanthida_XX_sp."
"20","Telonemia-Group-1_X_sp."
"21","Diplonemea_XX_sp."
"22","Spumellarida_XX_sp."
"23","Gregarines_GRE2_XX_sp."
"24","MAST-1C_XX_sp."
"25","Prasino-Clade-9_XXX_sp."
"26","Oomycota_XXX_sp."
"27","Labyrinthulaceae_X_sp."
"28","MOCH-5_XXX_sp."
"29","MAST-1A_XX_sp."
"30","MAST-4D_XX_sp."
"31","Chrysophyceae_Clade-H_X_sp."
"32","MAST-9C_XX_sp."
"33","Chaetoceros_anastomosans"
"34","Collodaria_XX_sp."
"35","Chrysophyceae_Clade-G_X_sp."
"36","Dino-Group-II-Clade-6_X_sp."
"37","Parmales_env_2_X_sp."
"38","Stephanoecidae_Group_H_X_sp."
"39","Costaria_costata"
"40","MAST-10_XXX_sp."
"41","Parmales_env_1_X_sp."
"42","MOCH-2_XXX_sp."
"43","Pelagophyceae_XXX_sp."
"44","MAST-1B_XX_sp."
"45","MAST-8A_XX_sp."
"46","Chaetoceros_lauderi"
"47","Dinophyceae_XXX_sp."
"48","Doliolum_nationalis"
"49","Chaetoceros_protuberans"
"50","MAST-9_XXX_sp."
"51","Pseudo-nitzschia_fraudulenta"
"52","Haplogloia_andersonii"
"53","NPK2-lineage_X_sp."
"54","Haliphthorales_X_sp."
"55","Pythium_ultimum"
"56","Stramenopiles_XXXXX_sp."
"57","Dino-Group-I-Clade-2_X_sp."
"58","Chrysophyceae_Clade-B2_X_sp."
"59","Chrysophyceae_Clade-F_X_sp."
"60","Pirsonia_punctigera"
"61","Chrysophyceae_Clade-C_X_sp."
"62","Chrysophyceae_Clade-I_X_sp."
"63","MAST-1D_XX_sp."
"64","Developayella_elegans"
"65","MOCH-4_XXX_sp."
"66","Stephanoecidae_Group_D_X_sp."
"67","MAST-3F_XX_sp."
"68","MAST-3E_XX_sp."
"69","Haptophyta_Clade_HAP2_XXX_sp."
"70","Dino-Group-II_XX_sp."
"71","Pirsonia_Clade__XXX_sp."
"72","Dictyocha_speculum"
"73","Chytriomyces_hyalinus"
"74","Dino-Group-I-Clade-4_X_sp."
"75","Cryomonadida_XX_sp."
"76","Ventricleftida_XX_sp."
"77","MAST-3J_XX_sp."
"78","Radial-centric-basal-Coscinodiscophyceae_X_sp."
"79","Actinocyclus_curvatulus"
"80","MAST-2C_XX_sp."
"81","MAST-3L_XX_sp."
"82","Triparma_eleuthera"
"83","Bicosoeca_sp."
"84","Rhizosolenia_fallax"
"85","MAST-8D_XX_sp."
"86","MAST-3I_XX_sp."
"87","MAST-4B_XX_sp."
"88","MAST-4F_XX_sp."
"89","MAST-7A_XX_sp."
"90","MAST-7D_XX_sp."
"91","MAST-7E_XX_sp."
"92","MAST-7C_XX_sp."
"93","MAST-7B_XX_sp."
"94","Triparma_mediterranea"
"95","MAST-6_XXX_sp."
"96","Zygorhizidium_sp."
"97","Bicoecea_XXX_sp."
"98","MAST-9A_XX_sp."
"99","Coscinodiscus_radiatus"
"100","Pseudo-nitzschia_pseudodelicatissima"
"101","Pseudo-nitzschia_delicatissima"
"102","Chaetoceros_rostratus"
"103","Pseudo-nitzschia_heimii"
"104","Raphid-pennate_X_sp."
"105","Guinardia_flaccida"
"106","Pseudo-nitzschia_australis"
"107","MAST-11_XXX_sp."
"108","Proboscia_alata"
"109","MAST-3K_XX_sp."
"110","MAST-4A_XX_sp."
"111","MAST-8C_XX_sp."
"112","Oikopleura_sp."
"113","MAST-12E_XX_sp."
"114","MAST-12A_XX_sp."
"115","MAST-2D_XX_sp."
"116","Radiolaria_XXXX_sp."
"117","MAST-3C_XX_sp."
"118","MAST-3A_XX_sp."
"119","MAST-3D_XX_sp."
"120","MAST-3B_XX_sp."
"121","Trieres_sp."
"122","Pterocystida_XX_sp."
"123","Appendicularia_X_sp."
"124","Oikopleura_dioica"
"125","Pirsonia_guinardiae"
"126","Pirsonia_diadema"
"127","MAST-23_XXX_sp."
"128","Pelagomonadaceae_clade_A_sp."
"129","Pelagomonadaceae_X_sp."
"130","MOCH-3_XXX_sp."
"131","MAST-3_XXX_sp."
"132","Dictyochophyceae_XXX_sp."
"133","Hydrozoa_X_sp."
"134","Trichocerca_elongata"
"135","Ophiothrix_oerstedii"
"136","MAST-8E_XX_sp."
"137","Stephanopyxis_nipponica"
"138","Chaetoceros_sp_Clade_Na26B1"
"139","Leptocylindrus_minimus"
"140","Chaetoceros_radicans"
"141","Chaetoceros_radicans_1"
"142","Chaetoceros_muellerii"
"143","Chaetoceros_curvisetus_1"
"144","Chaetoceros_tortissimus"
"145","Chaetoceros_cf_tortissimus"
"146","Chaetoceros_sp_Clade_Na13C2"
"147","Chaetoceros_lorenzianus_1"
"148","Chaetoceros_diadema_1"
"149","Chaetoceros_constrictus"
"150","Paulsenella_vonstoschii"
"151","Chaetoceros_socialis"
"152","Chloroparvula_B2_sp."
"153","Adriamonas_peritocrescens"
"154","Bacteriastrum_mediterraneum"
"155","Arcocellulus_cornucervis"
"156","Brockmanniella_brockmannii"
"157","Coscinodiscus_wailesii"
"158","MAST-12B_XX_sp."
"159","Telonema_antarcticum"
"160","Chlamydomonadales_XX_sp."
"161","Ancyromonas_micra"
"162","Percolomonas_cosmopolitus"
"163","Pseudobodo_sp."
"164","Coscinodiscus_granii"
"165","Halocrusticida_baliensis"
"166","Bacteriastrum_elegans"
"167","Lecudinidae_X_sp."
"168","Chaetoceros_costatus"
"169","Lingulodinium_polyedra"
"170","Chloroparvula_pacifica"
"171","Melibe_leonina"
"172","Achromadora_cf"
"173","Lineus_bilineatus"
"174","Homo_sapiens"
"175","Parasagitta_megalophthalma"
"176","Decipisagitta_decipiens"
"177","Krohnitta_pacifica"
"178","Pseudosagitta_lyra"
"179","Pentacta_pygmaea"
"180","Monosigidae_Group_M_X_sp."
"181","Scoloplos_armiger"
"182","NASSO_1_sp."
"183","Ungulina_cuneata"
"184","Petricola_lapicida"
"185","Filosa-Imbricatea_XXX_sp."
"186","Boccardiella_ligerica"
"187","Pectinaria_granulata"
"188","Panopea_generosa"
"189","Dino-Group-II-Clade-1_X_sp."
"190","Glycinde_armigera"
"191","Prostheceraeus_vittatus"
"192","Goniada_brunnea"
"193","CCW10-lineage_X_sp."
"194","Acanthoecidae_Group_G_X_sp."
"195","Conchoecia_sp."
"196","Cercozoa_XXXX_sp."
"197","Kavinia_himantia"
"198","Crepidotus_variabilis"
"199","Limaria_hians"
"200","Aphrodita_sp."
"201","Mesochaetopterus_taylori"
"202","Phoronopsis_harmeri"
"203","Owenia_fusiformis"
"204","Thaumatomastix_sp."
"205","Acrocalanus_gracilis"
"206","Sapphirina_darwinii"
"207","Calocalanus_sp."
"208","Daphnia_pulex"
"209","Nitokra_hibernica"
"210","Metridia_asymmetrica"
"211","Scaphocalanus_magnus"
"212","Subeucalanus_subtenuis"
"213","Calocalanus_minutus"
"214","Calocalanus_plumulosus"
"215","Spizellomycetales-and-Rhizophlyctidales_sp."
"216","Bigelowiella_natans"
"217","Partenskyella_glossopodia"
"218","Marimonadida_XX_sp."
"219","Filosa-Thecofilosea_XXX_sp."
"220","Tetracladium_sp."
"221","Dino-Group-I-Clade-6_X_sp."
"222","TAGIRI1-lineage_X_sp."
"223","Dino-Group-I-Clade-1_X_sp."
"224","Blattella_germanica"
"225","Aeolothrips_duvali"
"226","Phacellophora_camtschatica"
"227","Pansomonadida_XX_sp."
"228","Sergia_hansjacobi"
"229","Exophiala_oligosperma"
"230","Didymella_exitialis"
"231","Dothideomycetes_X_sp."
"232","Penicillium_sp."
"233","Phaeomoniella_zymoides"
"234","Thaumatomonadida_XX_sp."
"235","Wallemia_sebi"
"236","Chytridiomycotina_XX_sp."
"237","Cryptomycotina_XX_sp."
"238","Nereis_sandersi"
"239","Malassezia_sympodialis"
"240","Protaspa_longipes"
"241","Dino-Group-II-Clade-21_X_sp."
"242","Hydnochaete_olivacea"
"243","Ustilago_hordei"
"244","Rhodosporidium_sphaerocarpum"
"245","Goniomonas_sp."
"246","Clavispora_lusitaniae"
"247","Candida_atlantica"
"248","Kondoa_malvinella"
"249","Rhodotorula_lamellibrachiae"
"250","Sakaguchia_dacryoidea"
"251","Wallemia_ichthyophaga"
"252","Tilletiopsis_albescens"
"253","Aspergillus_penicillioides"
"254","Haptophyta_Clade_HAP4_XXX_sp."
"255","Haptophyta_Clade_HAP3_XXX_sp."
"256","Chrysaora_melanaster"
"257","Abeoformidae_Group_MAIP_1_X_sp."
"258","Solmissus_marshalli"
"259","Pantachogon_haeckeli"
"260","Aglaura_hemistoma"
"261","Dinurus_longisinus"
"262","Monosigidae_Group_B_X_sp."
"263","Hubrechtella_dubia"
"264","Stephanoeca_diplocostata"
"265","Liriope_tetraphylla"
"266","Botrynema_brucei"
"267","Haliscera_conica"
"268","Annelida_XXX_sp."
"269","Vanadis_formosa"
"270","Phyllodoce_groenlandica"
"271","Yarrowia_lipolytica"
"272","Aegina_citrea"
"273","Cunina_frugifera"
"274","Salpidae_sp."
"275","Pseudarchaster_parelii"
"276","Abatus_cavernosus"
"277","Paranerilla_limicola"
"278","Echinodermata_XXX_sp."
"279","Spiochaetopterus_bergensis"
"280","Micrura_ignea"
"281","Carinoma_sp."
"282","Apistobranchus_typicus"
"283","Boltenia_villosa"
"284","Chaetopterus_sp."
"285","Obelia_dichotoma"
"286","Tiaropsidium_kelseyi"
"287","Leuckartiara_octona"
"288","Proboscidactyla_flavicirrata"
"289","Lizzia_blondina"
"290","Bolinopsis_infundibulum"
"291","Stephanoecidae_Group_I_X_sp."
"292","Ctenophora_XXX_sp."
"293","Thalassocalyce_inconstans"
"294","Selaginopsis_cornigera"
"295","Plakortis_sp."
"296","Leucosolenia_sp."
"297","Resomia_ornicephala"
"298","Chuniphyes_multidentata"
"299","Clytia_gracilis"
"300","Clytia_sp."
"301","Melicertum_octocostatum"
"302","Thalassema_thalassemum"
"303","Novel-Gran-234_X_sp."
"304","Prorocentrum_nanum"
"305","Crisia_sp."
"306","Pachycerianthus_fimbriatus"
"307","Ichthyosphonida_XX_sp."
"308","Cyclosalpa_affinis"
"309","Thalia_democratica"
"310","Corella_inflata"
"311","Salpa_maxima"
"312","Pyrosoma_atlanticum"
"313","Choanoflagellida_XXXX_sp."
"314","Choanoflagellida_XX_Clade-3_X_sp."
"315","Pegea_confoederata"
"316","Choanoflagellatea_X_Group_L_X_sp."
