"","x"
"1","Marine Group III"
"2","Silvanigrella"
"3","MD3-55"
"4","Coxiella"
"5","Singulisphaera"
"6","Candidatus Scalindua"
"7","Fimbriiglobus"
"8","Gemmata"
"9","Planctopirus"
"10","SH-PL14"
"11","Fuerstia"
"12","Gimesia"
"13","Planctomicrobium"
"14","Rhodopirellula"
"15","Pir4 lineage"
"16","Pirellula"
"17","Blastopirellula"
"18","Rubripirellula"
"19","Candidatus Bealeia"
"20","CL500-3"
"21","FS140-16B-02 marine group"
"22","Urania-1B-19 marine sediment group"
"23","JL-ETNP-F27"
"24","SM1A02"
"25","LS-NOB"
"26","Desulfovibrio"
"27","Nitrospina"
"28","Candidatus Caldatribacterium"
"29","Nitrospira"
"30","Oligoflexus"
"31","Pseudobacteriovorax"
"32","OM27 clade"
"33","Desulfocella"
"34","Desulfobulbus"
"35","Candidatus Endoecteinascidia"
"36","Clade Ib"
"37","Desulfuromonas"
"38","Halobacteriovorax"
"39","Peredibacter"
"40","Roseomonas"
"41","Roseobacter"
"42","Fonticella"
"43","Maricaulis"
"44","Lactobacillus"
"45","Salinisphaera"
"46","P3OB-42"
"47","Kingella"
"48","Oceanococcus"
"49","Poseidonibacter"
"50","Candidatus Actinomarina"
"51","Roseobacter clade NAC11-7 lineage"
"52","Rhodobacter"
"53","Amylibacter"
"54","Candidatus Puniceispirillum"
"55","Acinetobacter"
"56","Anaeromyxobacter"
"57","Haliangium"
"58","Sandaracinus"
"59","Nannocystis"
"60","Polyangium"
"61","Pajaroellobacter"
"62","Moraxella"
"63","Enhydrobacter"
"64","Ferribacterium"
"65","Alcanivorax"
"66","Idiomarina"
"67","Simonsiella"
"68","Neisseria"
"69","Hafnia-Obesumbacterium"
"70","Alishewanella"
"71","Pseudohongiella"
"72","BD1-7 clade"
"73","Actinobacillus"
"74","Pandoraea"
"75","Halarcobacter"
"76","Psychrobacter"
"77","Sulfurimonas"
"78","Malaciobacter"
"79","Sphingorhabdus"
"80","Erythrobacter"
"81","Sphingomonas"
"82","Sphingobium"
"83","Thermopetrobacter"
"84","Azorhizobium"
"85","Candidatus Phaeomarinobacter"
"86","Halocynthiibacter"
"87","Roseovarius"
"88","Marivivens"
"89","Paracoccus"
"90","Sulfitobacter"
"91","Yoonia-Loktanella"
"92","Rhodobaculum"
"93","Bosea"
"94","Pontivivens"
"95","Hyphomicrobium"
"96","Rhodoplanes"
"97","Pedomicrobium"
"98","Craurococcus-Caldovatus"
"99","Rhodovastum"
"100","Acuticoccus"
"101","Devosia"
"102","Hirschia"
"103","Planktomarina"
"104","Clade Ia"
"105","Rubritepida"
"106","Acidisoma"
"107","Haematospirillum"
"108","Magnetospira"
"109","Thalassospira"
"110","OM75 clade"
"111","Labrys"
"112","Shimia"
"113","Roseococcus"
"114","Acidocella"
"115","MB11C04 marine group"
"116","Vicinamibacter"
"117","Subgroup 23"
"118","Bryobacter"
"119","Lentimonas"
"120","Coraliomargarita"
"121","SCGC AAA164-E04"
"122","ADurb.Bin118"
