"Kingdom","Supergroup","Division","Class","Order","Family","Genus","Species","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Pelobiontida","Pelomyxidae","Pelomyxa","Pelomyxa_stagnalis","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Pelobiontida","Pelomyxidae","Pelomyxa",NA
"Eukaryota","Rhizaria","Foraminifera","Monothalamids","Monothalamids_Clade-C","Monothalamids_Clade-C_X","Shinkaiya","Shinkaiya_lindsayi","Eukaryota","Rhizaria","Foraminifera","Monothalamids","Monothalamids_Clade-C","Monothalamids_Clade-C_X","Shinkaiya",NA
"Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Heterobranchia","Aplysia","Aplysia_extraordinaria","Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Heterobranchia","Aplysia",NA
"Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Prolecithophora","Vorticeros","Vorticeros_ijimai","Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Prolecithophora","Vorticeros",NA
"Eukaryota","Opisthokonta","Fungi","Kickxellomycota","Kickxellomycotina","Kickxellales","Coemansia","Coemansia_asiatica","Eukaryota","Opisthokonta","Fungi","Kickxellomycota","Kickxellomycotina","Kickxellales","Coemansia",NA
"Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Patellogastropoda","Patella","Patella_laticostata","Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Patellogastropoda","Patella",NA
"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Leotiomycetes","Collophora","Collophora_aceris","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Leotiomycetes","Collophora",NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Distigma","Distigma_elegans","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Distigma",NA
"Eukaryota","Rhizaria","Foraminifera","Monothalamids","Monothalamids_Clade-Y","Reticulomyxidae","Haplomyxa","Haplomyxa_saranae","Eukaryota","Rhizaria","Foraminifera","Monothalamids","Monothalamids_Clade-Y","Reticulomyxidae","Haplomyxa",NA
"Eukaryota","Rhizaria","Foraminifera","Globothalamea","Robertinida","Robertinidae","Robertina","Robertina_arctica","Eukaryota","Rhizaria","Foraminifera","Globothalamea","Robertinida","Robertinidae","Robertina",NA
"Eukaryota","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Pseudaphelenchus","Pseudaphelenchus_sp.","Eukaryota","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Pseudaphelenchus",NA
"Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Lecithoepitheliata","Prorhynchus","Prorhynchus_fontinalis","Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Lecithoepitheliata","Prorhynchus",NA
"Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Centramoebida","Endostelium-lineage","Endostelium","Endostelium_zonatum","Eukaryota","Amoebozoa","Lobosa","Lobosa_X","Centramoebida","Endostelium-lineage","Endostelium",NA
"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Myriapoda","Chilopoda","Zelanophilus","Zelanophilus_provocator","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Myriapoda","Chilopoda","Zelanophilus",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Trichiales","Trichiales_X","Arcyodes","Arcyodes_incarnata","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Trichiales","Trichiales_X","Arcyodes",NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Menoidium","Menoidium_obtusum","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Menoidium",NA
"Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Malacostraca","Salentinella","Salentinella_denticulata","Eukaryota","Opisthokonta","Metazoa","Arthropoda","Crustacea","Malacostraca","Salentinella",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida-Group-III","Dictyostelium-Group-III","Dictyostelium_lacteum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Dictyostelea","Dictyosteliida","Dictyosteliida_X","Dictyostelium",NA
"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_X","Oocystis","Oocystis_lacustris","Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","Chlorellales","Chlorellales_X","Oocystis",NA
"Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Menoidium","Menoidium_cultellus","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Rhabdomonadales","Menoidium",NA
"Eukaryota","Rhizaria","Foraminifera","Monothalamids","Monothalamids_Clade-Y","Monothalamids_Clade-Y_X","Monothalamids_Clade-Y_XX","Monothalamids_Clade-Y_XX_sp.","Eukaryota","Rhizaria","Foraminifera","Monothalamids",NA,NA,NA,NA
