"","not.mapped"
"1","Rhizophlyctidaceae"
"2","Rhizophlyctidales"
"3","Hypotrichomonadea_fa"
"4","Hypotrichomonadea_or"
"5","Hypotrichomonadea"
"6","Pinguiochrysidales_fa"
"7","Ochrophyta_ph"
"8","Hildenbrandiophycidae"
"9","Florideophycidae"
"10","Tetramitia"
"11","Intramacronucleata"
"12","Agaricaceae"
"13","Agaricales"
"14","Phragmidiaceae"
"15","Pucciniales"
"16","Florenciellales_fa"
"17","Monoblepharidales"
"18","eukaryotic"
"19","Chromulinales_fa"
"20","Chromulinales"
"21","Incertae_Sedis_fa"
"22","Incertae_Sedis_or"
"23","Incertae_Sedis_cl"
"24","Incertae_Sedis"
"25","Phytomyxea_fa"
"26","Phytomyxea_or"
"27","Phytomyxea"
"28","Kinetoplastea"
"29","Embioptera"
"30","Choreotrichia"
"31","Stichotricha"
"32","Pertusariales_fa"
"33","Pertusariales"
"34","Ricinulei"
"35","Corticiaceae"
"36","Corticiales"
"37","Rhodymeniophycidae_fa"
"38","Rhodymeniophycidae_or"
"39","Rhodymeniophycidae"
"40","Legeriomycetaceae"
"41","Aconoidasida"
"42","Siphonostomatoida"
"43","phytoplankton"
"44","Eustigmatales_fa"
"45","Eustigmatales"
"46","Gonyaulacales_fa"
"47","Bacillariophyceae_fa"
"48","Bacillariophyceae_or"
"49","Bacillariophyceae"
"50","Diatomea"
"51","Cristamonadea_fa"
"52","Cristamonadea_or"
"53","Cristamonadea"
"54","Ruinenia"
"55","Ruineniaceae"
"56","Agaricostilbales"
"57","Aphagea"
"58","Arguloida"
"59","Calanoida"
"60","Hypocreales_fa"
"61","Tetramitia_fa"
"62","Tetramitia_or"
"63","Mediophyceae_fa"
"64","Mediophyceae_or"
"65","Mediophyceae"
"66","Adeleorina"
"67","Conoidasida"
"68","Podocystis"
"69","Fragilariales_fa"
"70","Fragilariales"
"71","Coscinodiscophytina_cl"
"72","Collodaria_fa"
"73","Retaria"
"74","Lobulomycetaceae"
"75","Lobulomycetales"
"76","Erysiphaceae"
"77","Erysiphales"
"78","Conthreep"
"79","Salpingoeca"
"80","Salpingoecidae"
"81","Craspedida_or"
"82","Holozoa_ph"
"83","Leotiaceae"
"84","Neobodonida_fa"
"85","Neobodonida"
"86","Peridiniphycidae_or"
"87","Myxogastria_fa"
"88","Myxogastria_or"
"89","Myxogastria_cl"
"90","Myxogastria"
"91","Hamamotoa"
"92","Chrysozymaceae"
"93","Peronosporomycetes_fa"
"94","Peronosporomycetes_or"
"95","Peronosporomycetes_cl"
"96","Peronosporomycetes"
"97","Sphaerocarpales_fa"
"98","Sphaerocarpales"
"99","Embryophyta"
"100","Phragmoplastophyta"
"101","Chattonellales_fa"
"102","Chattonellales"
"103","Melosirids"
"104","Coscinodiscophytina_or"
"105","Abeoformidae"
"106","Mamiellales_fa"
"107","Chlorophyta_ph"
"108","Basidiobolaceae"
"109","Basidiobolales"
"110","Basidiobolomycetes"
"111","P34.45"
"112","Sordariales"
"113","Spirotrichonymphea_fa"
"114","Spirotrichonymphea_or"
"115","Spirotrichonymphea"
"116","Polytrichales_fa"
"117","Polytrichales"
"118","Cycadales_fa"
"119","Cycadales"
"120","Labyrinthulomycetes_or"
"121","Labyrinthulomycetes_cl"
"122","Aphelidea_fa"
"123","Aphelidea_or"
"124","Aphelidea_cl"
"125","Aphelidea"
"126","Enopla"
"127","Stephanoecidae"
"128","Acanthoecida_or"
"129","Plecoptera"
"130","Phthiraptera"
"131","Coccocarpiaceae"
"132","Peltigerales"
"133","Neocallimastigaceae"
"134","Neocallimastigales"
"135","Neocallimastigomycota"
"136","Polychytriales"
"137","Choanephoraceae"
"138","Glomeraceae"
"139","Glomerales"
"140","Lichtheimiaceae"
"141","Rhizosolenids"
"142","Tritrichomonadea"
"143","Pleosporales_fa"
"144","Gregarinasina"
"145","Noctilucales_fa"
"146","Dinoflagellata_cl"
"147","Caliciaceae"
"148","Caliciales"
"149","Urastomidae"
"150","Rhabditophora"
"151","Saccharomycetes"
"152","Caudofoveata"
"153","Sphenorchidium"
"154","Pucciniales_fa"
"155","Corethrids"
"156","Magnaporthaceae"
"157","Magnaporthales"
"158","Gracilipodida_fa"
"159","Gracilipodida_or"
"160","Gracilipodida_cl"
"161","Gracilipodida"
"162","Nielozyma"
"163","Bulleribasidiaceae"
"164","Tremellales"
"165","Rhizaspididae"
"166","Thecofilosea"
"167","Lophophorata"
"168","Piptocephalidaceae"
"169","Veneroida"
"170","Uropygi"
"171","Gymnodinium_clade"
"172","Gymnodiniphycidae"
"173","Parmeliaceae"
"174","Lecanorales"
"175","Marine_Choanoflagellates_1"
"176","Synchytriaceae"
"177","Pezizales"
"178","Agaricales_fa"
"179","Neritimorpha"
"180","Crepidotaceae"
"181","Cyclopoida"
"182","Harpacticoida"
"183","Salmacisia"
"184","Tilletiaceae"
"185","Tilletiales"
"186","Marimonadida_fa"
"187","Imbricatea"
"188","Granofilosea_fa"
"189","Granofilosea_or"
"190","Granofilosea"
"191","Eurotiales"
"192","Genolevuria"
"193","Tremellales_fa"
"194","Cercomonadidae_fa"
"195","Cercomonadidae_or"
"196","Rhodosporidiobolus"
"197","Sporidiobolaceae"
"198","Sporidiobolales"
"199","Narcomedusae"
"200","Phyllodocida"
"201","Polychaeta"
"202","Codonosigidae"
"203","Dictyotales_fa"
"204","Dictyotales"
"205","Chlorarachniophyta_fa"
"206","Chlorarachniophyta_or"
"207","Chlorarachniophyta"
"208","Discoba_cl"
"209","Discoba_ph"
"210","Telonema"
"211","Incertae_Sedis_ph"
"212","Spionida"
"213","Verongiida"
"214","Oligotrichia"
"215","Limnomedusae"
"216","Physalacriaceae"
"217","Lepismatidae"
"218","Zygentoma"
"219","Tritirachiaceae"
"220","Tritirachiales"
"221","Pucciniastraceae"
"222","Peridiniales_fa"
"223","Schizoplasmodiida"
"224","Prymnesiales_fa"
"225","Prymnesiophyceae_cl"
"226","Equisetaceae"
"227","Equisetales"
"228","Nephroselmidales_fa"
"229","Chlorodendrales_fa"
"230","Cochlodinium"
"231","Syndiniales_Group_II"
"232","Syndiniales_or"
"233","Syndiniales_Group_I"
"234","AT8-54"
"235","Syndiniales_fa"
"236","Pavlovophyceae_fa"
"237","Pavlovophyceae_or"
"238","Pavlovophyceae_cl"
"239","Chaetopeltidales_fa"
"240","Sinistrostrombidium"
"241","Chytridiaceae"
"242","Haptoria"
"243","Adinetida"
"244","Bdelloidea"
"245","Megaloptera"
"246","Phascolosomatiformes"
"247","Nemaliophycidae_fa"
"248","Nemaliophycidae_or"
"249","Nemaliophycidae"
"250","Sarcopterygii"
"251","Mucoraceae"
"252","Russulales_fa"
"253","Russulales"
"254","Xenacoelomorpha"
"255","Trigonopsidaceae"
"256","Dothideaceae"
"257","Dothideales"
"258","Eubodonida_fa"
"259","Eubodonida"
"260","Euglenaceae"
"261","Euglenophyceae_or"
"262","Kathablepharidae_fa"
"263","Kathablepharidae_or"
"264","Kathablepharidae_cl"
"265","Kathablepharidae"
"266","Pyrosomata"
"267","Thaliacea"
"268","Tunicata"
"269","Thecate"
"270","Placididea"
"271","Stramenopiles_ph"
"272","Debaryomycetaceae"
"273","Phaeotremella"
"274","Phaeotremellaceae"
"275","Postciliodesmatophora"
"276","Phlegmariurus"
"277","Lycopodiales_fa"
"278","Lycopodiales"
"279","Diplosalis"
"280","Chrysocapsales_fa"
"281","Chrysocapsales"
"282","Suillaceae"
"283","Boletales"
"284","Chimaeriformes_fa"
"285","Chimaeriformes"
"286","Gnathostomata_cl"
"287","Siphonophorae"
"288","Ochromonadales_fa"
"289","Ochromonadales"
"290","Bicosoecida_fa"
"291","Bicosoecida_or"
"292","Bicosoecida_cl"
"293","Merotricha"
"294","Tentaculata"
"295","ANT37-16"
"296","Imantonia"
"297","Ballistosporomyces"
"298","Chionosphaeraceae"
"299","Chromadorida"
"300","Nematozoa"
"301","Trichomonadea_fa"
"302","Trichomonadea_or"
"303","Trichomonadea"
"304","Charales_fa"
"305","Charales"
"306","Dictyostelia_fa"
"307","Dictyostelia_or"
"308","Dictyostelia_cl"
"309","Dictyostelia"
"310","SS1-E01-69"
"311","Sarcinochrysidales_fa"
"312","Fucales_fa"
"313","Fucales"
"314","Rhizophydiales_fa"
"315","Sympoventuriaceae"
"316","Venturiales"
"317","Suberitida"
"318","Piroplasmorida_fa"
"319","Pav3"
"320","Pedinellales_fa"
"321","Bolidomonas"
"322","Ochrophyta_fa"
"323","Ochrophyta_or"
"324","Ochrophyta_cl"
"325","Prostomatea"
"326","Rhizopogonaceae"
"327","Tribonematales_fa"
"328","Tribonematales"
"329","Echinamoebida_fa"
"330","Amoebozoa_ph"
"331","Ectocarpales_fa"
"332","Ectocarpales"
"333","Gedaniella"
"334","P34.48"
"335","Mrakiaceae"
"336","Cystofilobasidiales"
"337","Prymnesiophyceae_fa"
"338","Prymnesiophyceae_or"
"339","Hyphochytriales_fa"
"340","Hyphochytriales"
"341","Hyphochytriomycetes_cl"
"342","Hyphochytriomycetes"
"343","Tubiluchidae"
"344","Priapulida_or"
"345","Priapulida_cl"
"346","Scalidophora"
"347","ME-Euk-FW10"
"348","Diatomea_cl"
"349","Marchantiales_fa"
"350","Marchantiales"
"351","Dictyochales_fa"
"352","Aspergillaceae"
"353","Coscinodiscophytina_fa"
"354","Grimmiales"
"355","Lemnicula"
"356","Pseudoscourfieldiales_fa"
"357","Prasinophytae"
"358","Fragilariaceae"
"359","Oikopleuridae"
"360","Copelata"
"361","OLI16029"
"362","Synurales_fa"
"363","Ophiuroidea"
"364","Cydippida"
"365","Hysteriales_fa"
"366","Sphaeropleales_fa"
"367","T58"
"368","Dacrymycetaceae"
"369","Dacrymycetales"
"370","Moniligastrida"
"371","Clitellata"
"372","Protosteliida"
"373","Cryptophyceae_fa"
"374","Cryptophyceae_or"
"375","Cryptophyceae_cl"
"376","Cryptophyceae_ph"
"377","Entomophthoromycetes"
"378","Arboramoeba"
"379","Kofoidia"
"380","Subclade_B"
"381","Clade_VII"
"382","Zygoascus-Candida_clade"
"383","Trichomonascaceae"
"384","Archaeorhizomycetaceae"
"385","Archaeorhizomycetales"
"386","Archaeorhizomycetes"
"387","Trypanosomatida_fa"
"388","Trypanosomatida"
"389","Robbauera"
"390","Robbaueraceae"
"391","Robbauerales"
"392","Glenodinium"
"393","Diplostraca"
"394","Beroida"
"395","Nuda"
"396","Subclade_A"
"397","Cryptomonadales_fa"
"398","Slooffia"
"399","Dinophysiales_fa"
"400","Novel_Apicomplexa_Class_2"
"401","Lecanorales_fa"
"402","Ustilaginaceae"
"403","Ustilaginales"
"404","Graphidaceae"
"405","Solemyoida"
"406","Coeloperix"
"407","Kinorhyncha_Incertae_Sedis"
"408","Kinorhyncha_cl"
"409","Brachybasidiaceae"
"410","Exobasidiales"
"411","Unionoida"
"412","Palaeonemertea"
"413","Anopla"
"414","Homosclerophorida"
"415","Crinoidea"
"416","Heteronemertea"
"417","Boletaceae"
"418","Ichthyophonidae_fa"
"419","Ichthyophonidae"
"420","Ctenostomatida"
"421","Gymnolaemata"
"422","Holothuroidea"
"423","Malasseziaceae"
"424","Malasseziales"
"425","Malasseziomycetes"
"426","Trachymedusae"
"427","Rhinosporideacae"
"428","Pertusariaceae"
"429","Stigmatodiscaceae"
"430","Stigmatodiscales"
"431","Questidae"
"432","Scolecida_or"
"433","Orbiniidae"
"434","Myoida"
"435","Doassansiales_fa"
"436","Doassansiales"
"437","Paraonidae"
"438","Nucleariidae"
"439","Nucleariidae_and_Fonticula_group_or"
"440","Nucleariidae_and_Fonticula_group_cl"
"441","Nucleariidae_and_Fonticula_group"
"442","Neogloea"
"443","Atractiellales_fa"
"444","Extremaceae"
"445","Endogonaceae"
"446","Endogonales"
"447","Spizellomycetaceae"
"448","Xylobotryales"
"449","Xylobotryomycetes"
"450","Taphrinales"
"451","Xylobotryum"
"452","Xylobotryales_fa"
"453","Physciaceae"
"454","Gomphaceae"
"455","Gomphales"
"456","Geastraceae"
"457","Geastrales"
"458","Parergodrilidae"
"459","Stolidobranchia"
"460","Phoroniformea"
"461","Lingulida"
"462","Linguliformea"
"463","Sabellida"
"464","Harrimaniidae"
"465","Enteropneusta_or"
"466","Dissoconiaceae"
"467","FV23-1A4"
"468","Acanthoecidae"
"469","Geosiphonaceae"
"470","Archaeosporales"
"471","Scorpiones"
"472","Metschnikowiaceae"
"473","Paraphysoderma"
"474","Physodermataceae"
"475","AI5F14RJ2A07"
"476","Myodocopida"
"477","Notostraca"
"478","Araneae"
"479","Hymenoptera"
"480","Thysanoptera"
"481","Semaeostomeae"
"482","Helvellaceae"
"483","Filobasidiaceae"
"484","Filobasidiales"
"485","Boletales_fa"
"486","Naganishia"
"487","Sclerotiniaceae"
"488","Didymellaceae"
"489","Leptosphaeriaceae"
"490","Capnodiales_fa"
"491","Dothideomycetes_fa"
"492","Dothideomycetes_or"
"493","Onygenaceae"
"494","Onygenales"
"495","Trichomeriaceae"
"496","Hypocreaceae"
"497","Cordycipitaceae"
"498","Mycocaliciales_fa"
"499","Mycocaliciales"
"500","Diaporthales_fa"
"501","Cladosporiaceae"
"502","Aureobasidiaceae"
"503","Entolomataceae"
"504","Tausonia"
"505","Sarcoscyphaceae"
"506","Chytriomycetaceae"
"507","Russulaceae"
"508","Albatrellaceae"
"509","Palpata_Incertae_Sedis"
"510","Solicoccozyma"
"511","Piskurozymaceae"
"512","Kwoniella"
"513","Cryptococcaceae"
"514","Polyporales_fa"
"515","Polyporales"
"516","Vanrija"
"517","Trichosporonaceae"
"518","Trichosporonales"
"519","Vishniacozyma"
"520","Tropicoporus"
"521","Hymenochaetaceae"
"522","Kodamaea-Candida_clade"
"523","Hymenochaetopsis"
"524","Erythrobasidiaceae"
"525","Erythrobasidiales"
"526","Candida_tanzawaensis_clade"
"527","Leucosporidiaceae"
"528","Leucosporidiales"
"529","Clavispora-Candida_clade"
"530","Symmetrospora"
"531","Yamadazyma-Candida_clade"
"532","Melampsoraceae"
"533","Pichiaceae"
"534","Candida_glaebosa_clade"
"535","Saccharomycetales_fa"
"536","Candida-Lodderomyces_clade"
"537","Kondoaceae"
"538","Auriculariaceae"
"539","Auriculariales"
"540","Gymnophrys"
"541","Protomycetaceae"
"542","Sugitazyma"
"543","AA5F1"
"544","Centramoebida_fa"
"545","Discosea"
"546","Clionaida"
"547","Flosculariacea"
"548","Monogononta"
"549","Dictyoceratida"
"550","Leptothecata"
"551","Coronatae"
"552","Dipodascaceae"
"553","Asteroidea"
"554","Echinoidea"
"555","Eunicida"
"556","Ploimida"
"557","Anthoathecata"
"558","Platyctenida"
"559","Lobata"
"560","Murrayonida"
"561","Spongillida"
"562","Neoloricata"
"563","Leucosolenida"
"564","Tetractinellida"
"565","Xenopneusta"
"566","Echiuroinea"
"567","Exobasidiaceae"
"568","Amyloporia"
"569","Polyporaceae"
"570","Pennatulacea"
"571","Actiniaria"
"572","Ceriantharia"
"573","Scleractinia"
"574","Zoantharia"
"575","Salpida"
"576","Enterogona"
"577","Codonosigidae_fa"
"578","Proseriata"
"579","Circinotrichum"
"580","Xylariales_fa"
"581","Trematosphaeriaceae"
"582","Lithistida"
"583","Hygrophoraceae"
"584","Dentaliida"
"585","Microstromataceae"
"586","Microstromatales"
"587","Clavulinaceae"
"588","Cantharellales"
"589","Omphalotaceae"
"590","Monstrilloida"
"591","Sclerodermataceae"
"592","Blastocladiaceae"
"593","Haplosclerida"
"594","Terebellida"
"595","Capitellida"
"596","Haplotaxida"
"597","Opheliidae"
"598","Amiiformes"
"599","Actinopterygii"
"600","Semionotiformes"
"601","Aves"
"602","Pucciniaceae"
"603","Sirobasidiaceae"
"604","Uropyxidaceae"
"605","Didymosphaeriaceae"
"606","Haplopharyngida"
"607","Opiliones"
"608","Rimostrombidium"
"609","Spiculogloeaceae"
"610","Spiculogloeales"
"611","Spiculogloeomycetes"
"612","Kappamycetaceae"
"613","Dendrogastrida"
"614","Yueomyces"
"615","Rhizophydiaceae"
"616","Saccharomycodaceae"
"617","Myrmecridium"
"618","Myrmecridiaceae"
"619","Myrmecridiales"
"620","Peltigeraceae"
"621","Pseudosarcosoma"
"622","Chorioactidaceae"
"623","Zoothamnium"
"624","Isochrysidales_fa"
"625","Exobasidiales_fa"
"626","Orbiliaceae"
"627","Orbiliales"
"628","Katodinium"
"629","Gymnodiniphycidae_fa"
"630","Ancyromonadida"
"631","Cothurnia"
"632","Arcuospathidium"
"633","Colpodellida_fa"
"634","Colpodellida_or"
"635","Dicranales_fa"
"636","Dicranales"
"637","Corallinophycidae_fa"
"638","Corallinophycidae_or"
"639","Corallinophycidae"
"640","Bryales_fa"
"641","Bryales"
"642","Parabodonida"
"643","Orthotrichales_fa"
"644","Orthotrichales"
"645","Monoblepharidales_fa"
"646","Hemiurosomoida"
"647","Perkinsidae_fa"
"648","Perkinsidae_or"
"649","Perkinsidae"
"650","Heterotrichea_fa"
"651","Prorocentrales_fa"
"652","Mamiellophyceae_fa"
"653","Mamiellophyceae_or"
"654","Coccolithales_fa"
"655","Coccolithales_or"
"656","Isoetaceae"
"657","Isoetales"
"658","Palmophyllales_fa"
"659","ESS2202"
"660","Chaetosphaeridiales_fa"
"661","Chaetosphaeridiales"
"662","Syndiniales_Group_III"
"663","Cryptosporida_fa"
"664","Cryptosporida"
"665","Syndiniales_Group_V"
"666","Polypodiales_fa"
"667","Polypodiales"
"668","OLI51059"
"669","SGUH624"
"670","Pleurochrysis"
"671","Reticulosphaera"
"672","Chromulina"
"673","shizugawa"
"674","Massarinaceae"
"675","Pedinomonadales_fa"
"676","Exidiaceae"
"677","Dysteria"
"678","Andreaeaceae"
"679","Andreaeales"
"680","Eimeriorina"
"681","Phalacroma"
"682","Besnoitia"
"683","Clade_IX"
"684","Gomphillus"
"685","SA1-3C06"
"686","Selaginellales_fa"
"687","Selaginellales"
"688","Gjaerumia"
"689","Gjaerumiaceae"
"690","Georgefischeriales"
"691","Sebacinaceae"
"692","Sebacinales"
"693","Myriospora"
"694","Acarosporaceae"
"695","Acarosporales"
"696","Ustilentylomataceae"
"697","Microbotryales"
"698","Hodophilus"
"699","Platygloeaceae"
"700","Pucciniomycetes_or"
"701","Stereaceae"
"702","Helotiaceae"
"703","Gymnoascaceae"
"704","Meruliaceae"
"705","Ramalinaceae"
"706","Phacaceae"
"707","Lachnocladiaceae"
"708","Boletopsis"
"709","Thelephorales_fa"
"710","Thelephorales"
"711","Ajellomycetaceae"
"712","Cyphellaceae"
"713","Macruropyxis"
"714","Biemnida"
"715","Thelephoraceae"
"716","Gomphidiaceae"
"717","Psoraceae"
"718","Myriangiaceae"
