"X2","X3","X4","X5","X6","X7","X8","X9","kingdom","supergroup","division","class","order","family","genus","species"
"Eukaryota","Rhizaria","Foraminifera","Globothalamea","Textulariida","Trochamminidae","Trochammina","Trochammina_sp.","Eukaryota","Rhizaria","Foraminifera","Globothalamea","Textulariida","Trochamminidae","Trochammina",NA
"Eukaryota","Excavata","Metamonada","Preaxostyla","Oxymonadida","Saccinobaculidae","Opisthomitus","Opisthomitus_longiflagellatus","Eukaryota","Excavata","Metamonada","Preaxostyla","Oxymonadida","Saccinobaculidae","Opisthomitus",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Lamproderma","Lamproderma_sp.","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Lamproderma",NA
"Eukaryota","Opisthokonta","Metazoa","Myxozoa","Myxozoa_X","Myxosporea","Myxobolus","Myxobolus_squamalis","Eukaryota","Opisthokonta","Metazoa","Myxozoa","Myxozoa_X","Myxosporea","Myxobolus",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Tubiferaceae","Tubifera","Tubifera_ferruginosa","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Liceales","Tubiferaceae","Tubifera",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Didymiaceae","Lepidoderma","Lepidoderma_tigrinum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Didymiaceae","Lepidoderma",NA
"Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana1","Gregarina_blattarum","Eukaryota","Alveolata","Apicomplexa","Gregarinomorphea","Eugregarinorida","Gregarinidae","Leidyana1",NA
"Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Thelidium","Thelidium_papulare","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Thelidium",NA
"Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Lamproderma","Lamproderma_columbinum","Eukaryota","Amoebozoa","Conosa","Mycetozoa-Myxogastrea","Stemonitales-Physarales","Stemonitales-Physarales_X","Lamproderma",NA
"Eukaryota","Eukaryota_X","Eukaryota_XX","Eukaryota_XXX","Eukaryota_XXXX","Eukaryota_XXXXX","Eukaryota_XXXXXX","Eukaryota_XXXXXX_sp.","Eukaryota",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Heterobranchia","Aplysia","Aplysia_extraordinaria","Eukaryota","Opisthokonta","Metazoa","Mollusca","Gastropoda","Heterobranchia","Aplysia",NA
"Eukaryota","Rhizaria","Foraminifera","Globothalamea","Rotaliida","Elphidiidae","Elphidium","Elphidium_excavatum","Eukaryota","Rhizaria","Foraminifera","Globothalamea","Rotaliida","Elphidiidae","Elphidium",NA
