"domain","phylum","class","order","family","genus","kingdom","supergroup","division","class","order","family","genus","species"
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC AAA286-E23",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR15","Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011","AR20","Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","GW2011_GWC1_47_15",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","SCGC AAA011-D5",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Nanoarchaeota","Nanoarchaeia","Nanoarchaeales","Nanopusillaceae","Candidatus Nanobsidianus","Archaea",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Platyhelminthes","Rhabditophora","Rhabdocoela",NA,NA,"Eukaryota","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Rhabdocoela",NA,NA
"Archaea","Nanoarchaeota","Nanoarchaeia","Woesearchaeales","CG1-02-57-44",NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","SG8-5",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmata_or","Thermoplasmata_fa","Marine Group III","Archaea",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Oligoflexia","Silvanigrellales","Silvanigrellaceae","Silvanigrella","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes","Bacilli","Entomoplasmatales","Entomoplasmatales Incertae Sedis","Candidatus Hepatoplasma","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Fokiniaceae","MD3-55","Bacteria",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Marine Benthic Group D and DHVEG-1",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae","Candidatus Methanoplasma","Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmatales","Ferroplasmaceae","Acidiplasma","Archaea",NA,NA,NA,NA,NA,NA,NA
"Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanogenium","Archaea",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Eukaryota_ph","Dictyochophyceae","Florenciellales","Florenciellales_fa","Pseudochattonella","Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","Dictyochophyceae_X","Florenciellales","Pseudochattonella",NA
"Eukaryota","Apicomplexa","Conoidasida","Coccidia","Eimeriorina","Aggregata","Eukaryota","Alveolata","Apicomplexa","Apicomplexa_X","Apicomplexa_XX","Aggregatidae","Aggregata",NA
"Archaea","Thermoplasmatota","Thermoplasmata","Marine Group II",NA,NA,"Archaea",NA,NA,NA,NA,NA,NA,NA
"Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Oxytrichidae",NA,"Eukaryota","Alveolata","Ciliophora","Spirotrichea","Hypotrichia","Oxytrichidae",NA,NA
