"","not.mapped"
"1","Pirsoniales"
"2","Amoebophryaceae"
"3","Calanoida"
"4","Gymnoplea"
"5","Neocopepoda"
"6","Copepoda"
"7","Hexanauplia"
"8","Multicrustacea"
"9","Pancrustacea"
"10","Mandibulata"
"11","Panarthropoda"
"12","Ecdysozoa"
"13","Protostomia"
"14","Bilateria"
"15","Eumetazoa"
"16","Mediophyceae"
"17","Chattonellaceae"
"18","Chattonellales"
"19","Amniota"
"20","Tetrapoda"
"21","Dipnotetrapodomorpha"
"22","Sarcopterygii"
"23","Euteleostomi"
"24","Teleostomi"
"25","Gnathostomata"
"26","Chordata"
"27","Deuterostomia"
"28","Hexacorallia"
"29","Veneroida"
"30","Euheterodonta"
"31","Heterodonta"
"32","Lophotrochozoa"
"33","Stephanoecidae"
"34","Choanoflagellata"
"35","Podoplea"
"36","Eurotiomycetidae"
"37","leotiomyceta"
"38","saccharomyceta"
"39","Dikarya"
"40","Rhogostomidae"
"41","Thecofilosea"
"42","Trachylinae"
"43","Phyllodocida"
"44","Aciculata"
"45","Palpata"
"46","Polychaeta"
"47","Salpingoecidae"
"48","Spionida"
"49","Scolecida"
"50","Capitellida"
"51","Oligotrichia"
"52","Intramacronucleata"
"53","Embryophyta"
"54","Streptophytina"
"55","Viridiplantae"
"56","Blastodiniales"
"57","Aphelidea"
"58","Aphelida"
"59","Telonema"
"60","Telonemida"
"61","unclassified eukaryotes"
"62","Oomycetes"
"63","PX clade"
"64","Biddulphiophycidae"
"65","Bolidomonas"
"66","Bacillariophycidae"
"67","Bacillariophyceae"
"68","Haptista"
"69","Rhizosoleniaceae"
"70","Rhizosoleniales"
"71","Rhizosoleniophycidae"
"72","Coscinodiscophyceae"
"73","Chromulinales"
"74","Paraphysomonadaceae"
"75","Chromulinaceae"
"76","Imbricatea"
"77","Aspergillaceae"
"78","Eurotiales"
"79","Saccharomycetes"
"80","Coscinodiscales"
"81","Coscinodiscophycidae"
"82","Hemidiscaceae"
"83","Bicosoecidae"
"84","Oikopleuridae"
"85","Copelata"
"86","Tunicata"
"87","Biddulphiaceae"
"88","Biddulphiales"
"89","Melosirales"
"90","Stephanopyxidaceae"
"91","Ophiuroidea"
"92","Asterozoa"
"93","Eleutherozoa"
"94","Tentaculata"
"95","Siphonophorae"
"96","Hydroidolina"
"97","Thoracosphaerales"
"98","Pteriomorphia"
"99","Diplostraca"
"100","Phyllopoda"
"101","Lophodiniaceae"
"102","Lophodiniales"
"103","Granofilosea"
"104","Heteronemertea"
"105","Pilidiophora"
"106","Malasseziaceae"
"107","Malasseziales"
"108","Malasseziomycetes"
"109","Echinozoa"
"110","Trachymedusae"
"111","Choreotrichia"
"112","Terebellida"
"113","Holometabola"
"114","Neoptera"
"115","Pterygota"
"116","Dicondylia"
"117","Leptothecata"
"118","Anthoathecata"
"119","Filobasidiales"
"120","dothideomyceta"
"121","Fungi incertae sedis"
"122","Salpida"
"123","Thaliacea"
"124","Prostomatea"
"125","Tontoniidae"
"126","Scuticociliatia"
"127","Rimostrombidium"
"128","Prasinococcaceae"
"129","Rhodymeniophycidae"
"130","Syndiniaceae"
"131","Dysteriida"
"132","Phyllopharyngia"
"133","Trypanosomatidae"
